Time;Volt_n1_V_out;Volt_p1_V_out;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out;PVDF1;PVDF2;PVDF3;PVDF4;PVDF5;PVDF6;PVDF7;PVDF8;PVDF9
0.0;-7.5656e-18;4.0601e-18;1.0978e-18;8.031100000000001e-19;1.12e-17;3.3658e-18;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.008;-2.2124e-15;4.2909e-15;-1.9856e-15;-4.6149e-16;2.5664e-15;2.2146e-15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.016;-8.5605e-08;1.9723e-08;9.2891e-09;1.3204e-08;1.5088e-08;1.329e-08;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.032;-2.3955e-07;5.5381e-08;2.5991e-08;3.7008e-08;4.22e-08;3.7237e-08;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.064;-4.7216e-07;1.0911e-07;5.1173e-08;7.2908e-08;8.3259e-08;7.3372e-08;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.128;-8.5714e-07;1.9834e-07;9.2879e-08;1.325e-07;1.5132e-07;1.3334e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.2;-1.3254e-06;3.0691e-07;1.4338e-07;2.0473e-07;2.34e-07;2.0605e-07;293.16;293.16;293.15;293.16;293.15;293.15;293.16;293.15;293.15
0.25;-1.6569e-06;3.8394e-07;1.7917e-07;2.56e-07;2.9264e-07;2.5765e-07;293.16;293.16;293.15;293.16;293.15;293.15;293.16;293.15;293.15
0.3;-1.9892e-06;4.6122e-07;2.1502e-07;3.0741e-07;3.5143e-07;3.0939e-07;293.16;293.16;293.15;293.16;293.15;293.15;293.16;293.15;293.15
0.35;-2.3175e-06;5.3757e-07;2.5041e-07;3.5817e-07;4.0952e-07;3.6048e-07;293.16;293.16;293.15;293.16;293.15;293.15;293.16;293.15;293.15
0.4;-2.6428e-06;6.1333e-07;2.8546e-07;4.0851e-07;4.6712e-07;4.1114e-07;293.16;293.16;293.15;293.16;293.15;293.15;293.16;293.15;293.15
0.45;-2.9671e-06;6.8886e-07;3.2039e-07;4.5869e-07;5.2455e-07;4.6165e-07;293.16;293.16;293.15;293.16;293.15;293.15;293.16;293.15;293.15
0.5;-3.2893e-06;7.64e-07;3.5506e-07;5.0855e-07;5.8165e-07;5.1184e-07;293.16;293.16;293.15;293.16;293.15;293.15;293.16;293.15;293.15
0.55;-3.6109e-06;8.3897e-07;3.8967e-07;5.5831e-07;6.3862e-07;5.6192e-07;293.16;293.16;293.15;293.16;293.15;293.15;293.16;293.15;293.15
0.6;-3.9334e-06;9.1417e-07;4.2438e-07;6.0823e-07;6.9577e-07;6.1216e-07;293.17;293.17;293.15;293.17;293.15;293.15;293.17;293.15;293.15
0.65;-4.2531e-06;9.8881e-07;4.5875e-07;6.5772e-07;7.5245e-07;6.6198e-07;293.17;293.17;293.15;293.17;293.15;293.15;293.17;293.15;293.15
0.7;-4.5716e-06;1.0632e-06;4.93e-07;7.0704e-07;8.0894e-07;7.1162e-07;293.17;293.17;293.15;293.17;293.15;293.15;293.17;293.15;293.15
