N1;P1;P2;N3;P3;AP;N1_prev1;P1_prev1;P2_prev1;N3_prev1;P3_prev1;N1_prev2;P1_prev2;P2_prev2;N3_prev2;P3_prev2;N1_prev3;P1_prev3;P2_prev3;N3_prev3;P3_prev3
-0.000321814;2.67091e-05;7.55912552e-05;4.25121e-05;-8.2625e-05;0.0;-0.0003985448;2.19887e-05;8.12906001e-05;4.95262e-05;-8.45115e-05;-0.0005264177;2.84064e-05;8.706269e-05;6.10268e-05;-9.5973e-05;-0.0008679629;2.9361e-05;9.11700481e-05;0.0001107144;-0.0001248017
-0.0002675722;2.61626e-05;7.55529691e-05;3.78215e-05;-7.50779e-05;0.0;-0.000321814;2.67091e-05;7.55912552e-05;4.25121e-05;-8.2625e-05;-0.0003985448;2.19887e-05;8.12906001e-05;4.95262e-05;-8.45115e-05;-0.0005264177;2.84064e-05;8.706269e-05;6.10268e-05;-9.5973e-05
-0.0002293421;2.75378e-05;6.99747397e-05;3.34538e-05;-7.34722e-05;0.0;-0.0002675722;2.61626e-05;7.55529691e-05;3.78215e-05;-7.50779e-05;-0.000321814;2.67091e-05;7.55912552e-05;4.25121e-05;-8.2625e-05;-0.0003985448;2.19887e-05;8.12906001e-05;4.95262e-05;-8.45115e-05
-0.0002003953;2.6685e-05;7.24143174e-05;2.97624e-05;-7.13156e-05;0.0;-0.0002293421;2.75378e-05;6.99747397e-05;3.34538e-05;-7.34722e-05;-0.0002675722;2.61626e-05;7.55529691e-05;3.78215e-05;-7.50779e-05;-0.000321814;2.67091e-05;7.55912552e-05;4.25121e-05;-8.2625e-05
-0.000172333;2.8891e-05;7.38931267e-05;2.99227e-05;-6.88416e-05;0.0;-0.0002003953;2.6685e-05;7.24143174e-05;2.97624e-05;-7.13156e-05;-0.0002293421;2.75378e-05;6.99747397e-05;3.34538e-05;-7.34722e-05;-0.0002675722;2.61626e-05;7.55529691e-05;3.78215e-05;-7.50779e-05
-0.000150595;1.50518e-05;7.65341611e-05;2.88526e-05;-5.87634e-05;1.0;-0.000172333;2.8891e-05;7.38931267e-05;2.99227e-05;-6.88416e-05;-0.0002003953;2.6685e-05;7.24143174e-05;2.97624e-05;-7.13156e-05;-0.0002293421;2.75378e-05;6.99747397e-05;3.34538e-05;-7.34722e-05
-0.001091314;0.0002420105;0.000486645178;0.0005548414;-0.000673445;1.0;-0.000150595;1.50518e-05;7.65341611e-05;2.88526e-05;-5.87634e-05;-0.000172333;2.8891e-05;7.38931267e-05;2.99227e-05;-6.88416e-05;-0.0002003953;2.6685e-05;7.24143174e-05;2.97624e-05;-7.13156e-05
-0.0014874752;0.0002538682;0.000525335025;0.0006672174;-0.000725809;1.0;-0.001091314;0.0002420105;0.000486645178;0.0005548414;-0.000673445;-0.000150595;1.50518e-05;7.65341611e-05;2.88526e-05;-5.87634e-05;-0.000172333;2.8891e-05;7.38931267e-05;2.99227e-05;-6.88416e-05
-0.0017153904;0.0002613264;0.000538399909;0.0006950773;-0.00074163;1.0;-0.0014874752;0.0002538682;0.000525335025;0.0006672174;-0.000725809;-0.001091314;0.0002420105;0.000486645178;0.0005548414;-0.000673445;-0.000150595;1.50518e-05;7.65341611e-05;2.88526e-05;-5.87634e-05
-0.0018453026;0.0001766326;0.000228880861;0.0007099356;-0.0002482213;0.0;-0.0017153904;0.0002613264;0.000538399909;0.0006950773;-0.00074163;-0.0014874752;0.0002538682;0.000525335025;0.0006672174;-0.000725809;-0.001091314;0.0002420105;0.000486645178;0.0005548414;-0.000673445
-0.0007227524;4.15061e-05;0.000111387606;0.000114312;-0.000125605;0.0;-0.0018453026;0.0001766326;0.000228880861;0.0007099356;-0.0002482213;-0.0017153904;0.0002613264;0.000538399909;0.0006950773;-0.00074163;-0.0014874752;0.0002538682;0.000525335025;0.0006672174;-0.000725809
-0.0004205075;3.69703e-05;9.9405428e-05;6.60774e-05;-0.0001035053;0.0;-0.0007227524;4.15061e-05;0.000111387606;0.000114312;-0.000125605;-0.0018453026;0.0001766326;0.000228880861;0.0007099356;-0.0002482213;-0.0017153904;0.0002613264;0.000538399909;0.0006950773;-0.00074163
-0.0002955443;3.4116e-05;9.03970285e-05;5.43771e-05;-9.5722e-05;0.0;-0.0004205075;3.69703e-05;9.9405428e-05;6.60774e-05;-0.0001035053;-0.0007227524;4.15061e-05;0.000111387606;0.000114312;-0.000125605;-0.0018453026;0.0001766326;0.000228880861;0.0007099356;-0.0002482213
-0.0002224325;3.36356e-05;8.37416519e-05;4.97225e-05;-8.46751e-05;0.0;-0.0002955443;3.4116e-05;9.03970285e-05;5.43771e-05;-9.5722e-05;-0.0004205075;3.69703e-05;9.9405428e-05;6.60774e-05;-0.0001035053;-0.0007227524;4.15061e-05;0.000111387606;0.000114312;-0.000125605
-0.000166165;3.39167e-05;8.91643213e-05;4.94411e-05;-8.75756e-05;0.0;-0.0002224325;3.36356e-05;8.37416519e-05;4.97225e-05;-8.46751e-05;-0.0002955443;3.4116e-05;9.03970285e-05;5.43771e-05;-9.5722e-05;-0.0004205075;3.69703e-05;9.9405428e-05;6.60774e-05;-0.0001035053
-0.0001439486;2.23789e-05;8.72001401e-05;4.81146e-05;-6.72501e-05;1.0;-0.000166165;3.39167e-05;8.91643213e-05;4.94411e-05;-8.75756e-05;-0.0002224325;3.36356e-05;8.37416519e-05;4.97225e-05;-8.46751e-05;-0.0002955443;3.4116e-05;9.03970285e-05;5.43771e-05;-9.5722e-05
-0.0007534781;0.0001371154;0.000295153819;0.0003409171;-0.0003734461;1.0;-0.0001439486;2.23789e-05;8.72001401e-05;4.81146e-05;-6.72501e-05;-0.000166165;3.39167e-05;8.91643213e-05;4.94411e-05;-8.75756e-05;-0.0002224325;3.36356e-05;8.37416519e-05;4.97225e-05;-8.46751e-05
-0.0010920777;0.0001447866;0.00031281836;0.0003711355;-0.0004046026;1.0;-0.0007534781;0.0001371154;0.000295153819;0.0003409171;-0.0003734461;-0.0001439486;2.23789e-05;8.72001401e-05;4.81146e-05;-6.72501e-05;-0.000166165;3.39167e-05;8.91643213e-05;4.94411e-05;-8.75756e-05
-0.0012311609;0.000146573;0.000321677362;0.0003862927;-0.0004175924;1.0;-0.0010920777;0.0001447866;0.00031281836;0.0003711355;-0.0004046026;-0.0007534781;0.0001371154;0.000295153819;0.0003409171;-0.0003734461;-0.0001439486;2.23789e-05;8.72001401e-05;4.81146e-05;-6.72501e-05
