time;N1;P1;P2;N3;P3;N1_prev1;P1_prev1;P2_prev1;N3_prev1;P3_prev1;N1_prev2;P1_prev2;P2_prev2;N3_prev2;P3_prev2;N1_prev3;P1_prev3;P2_prev3;N3_prev3;P3_prev3;AP;Predicted AP
1495.1406760215762;-1.8336e-06;-1.72285e-05;-4.53781904e-05;-0.0002045682;-0.000156993;-2.4368e-06;-4.0428e-06;-7.40442993e-05;-0.0002644868;-0.000163959;-1.8724e-06;-3.05106e-05;-8.89552466e-05;-0.0003171469;-0.000166255;7.469e-07;-4.56925e-05;-0.00013319272;-0.0004141094;-0.000187762;0;0
1498.3253962993624;-4.8736e-06;1.7266e-06;-2.48288798e-05;-0.0001794952;-0.000140852;-1.8336e-06;-1.72285e-05;-4.53781904e-05;-0.0002045682;-0.000156993;-2.4368e-06;-4.0428e-06;-7.40442993e-05;-0.0002644868;-0.000163959;-1.8724e-06;-3.05106e-05;-8.89552466e-05;-0.0003171469;-0.000166255;0;0
1501.513537168503;-3.855e-06;9.7146e-06;-1.94291297e-05;-0.0001617265;-0.000158163;-4.8736e-06;1.7266e-06;-2.48288798e-05;-0.0001794952;-0.000140852;-1.8336e-06;-1.72285e-05;-4.53781904e-05;-0.0002045682;-0.000156993;-2.4368e-06;-4.0428e-06;-7.40442993e-05;-0.0002644868;-0.000163959;0;0
1157.6982140541077;-0.0008489753;0.000142118;8.3943567e-05;2.23043e-05;-5.8635e-05;-0.0012280559;9.77419e-05;8.10359561e-05;4.45552e-05;-5.5234e-05;-0.0020921024;0.0001512756;0.000149123473;0.0001382897;-8.1908e-05;-0.003415573;0.0002443906;0.000288951531;0.0003085182;-0.000233557;0;0
1160.9239242076874;-0.0006938908;0.0001123406;-2.581638e-05;1.75886e-05;-5.0598e-05;-0.0008489753;0.000142118;8.3943567e-05;2.23043e-05;-5.8635e-05;-0.0012280559;9.77419e-05;8.10359561e-05;4.45552e-05;-5.5234e-05;-0.0020921024;0.0001512756;0.000149123473;0.0001382897;-8.1908e-05;0;0
1165.3954648971558;-0.0005797667;9.48215e-05;6.47263441e-05;1.32406e-05;-3.7404e-05;-0.0006938908;0.0001123406;-2.581638e-05;1.75886e-05;-5.0598e-05;-0.0008489753;0.000142118;8.3943567e-05;2.23043e-05;-5.8635e-05;-0.0012280559;9.77419e-05;8.10359561e-05;4.45552e-05;-5.5234e-05;0;0
1169.8554592132568;-0.0004695368;8.49968e-05;4.34537396e-05;1.32951e-05;-3.152e-05;-0.0005797667;9.48215e-05;6.47263441e-05;1.32406e-05;-3.7404e-05;-0.0006938908;0.0001123406;-2.581638e-05;1.75886e-05;-5.0598e-05;-0.0008489753;0.000142118;8.3943567e-05;2.23043e-05;-5.8635e-05;0;0
1212.9257140159607;-0.0002239902;0.0001730692;0.000316573627;0.0002203481;-0.000328006;-0.0002616602;0.0002633583;0.000482493342;0.0002782148;-0.000323966;-0.0003235511;0.0003107176;0.000534960942;0.0004102616;-0.000424134;-0.0005120394;0.000397376;0.000721155491;0.0009968041;-0.000799393;0;0
1217.3675339221954;-0.0001937826;0.0001210104;0.000202369352;0.00016912;-0.000225652;-0.0002239902;0.0001730692;0.000316573627;0.0002203481;-0.000328006;-0.0002616602;0.0002633583;0.000482493342;0.0002782148;-0.000323966;-0.0003235511;0.0003107176;0.000534960942;0.0004102616;-0.000424134;0;0
1220.657695055008;-0.0001623278;0.0001400829;0.000183597149;0.00012853;-0.000204642;-0.0001937826;0.0001210104;0.000202369352;0.00016912;-0.000225652;-0.0002239902;0.0001730692;0.000316573627;0.0002203481;-0.000328006;-0.0002616602;0.0002633583;0.000482493342;0.0002782148;-0.000323966;0;0
