Time;Volt_n1_V_out;Volt_p1_V_out;Temp_PVDF_1;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out;Temp_PVDF_2
0;4.08E-18;-1.83E-17;293.15;1.48E-17;-4.26E-18;-1.17E-17;-8.60E-19;293.15
0.03;-3.87E-08;-1.20E-08;293.15;5.32E-08;-7.82E-08;-3.25E-08;1.77E-07;293.15
0.06;-8.32E-08;-2.59E-08;293.15;1.14E-07;-1.68E-07;-6.98E-08;3.80E-07;293.15
0.09;-1.21E-07;-3.76E-08;293.15;1.66E-07;-2.44E-07;-1.01E-07;5.50E-07;293.15
0.12;-1.51E-07;-4.72E-08;293.15;2.08E-07;-3.05E-07;-1.27E-07;6.90E-07;293.15
0.15;-1.86E-07;-5.79E-08;293.15;2.55E-07;-3.74E-07;-1.56E-07;8.46E-07;293.15
0.18;-2.23E-07;-6.96E-08;293.15;3.06E-07;-4.50E-07;-1.87E-07;1.02E-06;293.15
0.21;-2.62E-07;-8.16E-08;293.16;3.59E-07;-5.27E-07;-2.19E-07;1.19E-06;293.16
0.24;-2.99E-07;-9.33E-08;293.16;4.10E-07;-6.03E-07;-2.51E-07;1.36E-06;293.16
0.27;-3.36E-07;-1.05E-07;293.16;4.61E-07;-6.77E-07;-2.82E-07;1.53E-06;293.16
0.3;-3.73E-07;-1.16E-07;293.16;5.12E-07;-7.51E-07;-3.13E-07;1.70E-06;293.16
0.33;-4.10E-07;-1.28E-07;293.16;5.62E-07;-8.26E-07;-3.44E-07;1.87E-06;293.16
0.36;-4.47E-07;-1.40E-07;293.16;6.13E-07;-9.00E-07;-3.75E-07;2.03E-06;293.16
0.39;-4.84E-07;-1.51E-07;293.16;6.63E-07;-9.74E-07;-4.05E-07;2.20E-06;293.16
0.42;-5.21E-07;-1.63E-07;293.16;7.13E-07;-1.05E-06;-4.36E-07;2.37E-06;293.16
0.45;-5.57E-07;-1.74E-07;293.16;7.64E-07;-1.12E-06;-4.67E-07;2.53E-06;293.16
0.48;-5.94E-07;-1.85E-07;293.16;8.14E-07;-1.19E-06;-4.98E-07;2.70E-06;293.16
0.51;-6.31E-07;-1.97E-07;293.16;8.64E-07;-1.27E-06;-5.28E-07;2.86E-06;293.16
0.54;-6.67E-07;-2.08E-07;293.16;9.13E-07;-1.34E-06;-5.59E-07;3.03E-06;293.16
0.57;-7.03E-07;-2.20E-07;293.17;9.63E-07;-1.41E-06;-5.89E-07;3.19E-06;293.17
0.6;-7.40E-07;-2.31E-07;293.17;1.01E-06;-1.49E-06;-6.19E-07;3.36E-06;293.17
0.63;-7.76E-07;-2.42E-07;293.17;1.06E-06;-1.56E-06;-6.50E-07;3.52E-06;293.17
0.66;-8.12E-07;-2.54E-07;293.17;1.11E-06;-1.63E-06;-6.80E-07;3.69E-06;293.17
0.69;-8.48E-07;-2.65E-07;293.17;1.16E-06;-1.70E-06;-7.10E-07;3.85E-06;293.17
0.72;-8.84E-07;-2.76E-07;293.17;1.21E-06;-1.77E-06;-7.40E-07;4.01E-06;293.17
0.75;-9.20E-07;-2.88E-07;293.17;1.26E-06;-1.85E-06;-7.70E-07;4.17E-06;293.17
0.78;-9.56E-07;-2.99E-07;293.17;1.31E-06;-1.92E-06;-8.00E-07;4.33E-06;293.17
0.81;-9.92E-07;-3.10E-07;293.17;1.36E-06;-1.99E-06;-8.29E-07;4.50E-06;293.17
