Time;Volt_n1_V_out;Volt_p1_V_out;Temp_PVDF_1;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out;Temp_PVDF_2;;;;
0;4.03E-18;7.64E-19;293.15;7.51E-18;1.28E-17;-3.04E-18;-1.15E-17;293.15;;;;
0.05;-1.38E-08;2.51E-07;293.15;-4.14E-08;-5.64E-08;-7.20E-08;-5.70E-08;293.15;;;;
0.1;-3.61E-08;6.50E-07;293.15;-1.08E-07;-1.46E-07;-1.86E-07;-1.48E-07;293.15;;;;
0.15;-5.27E-08;9.55E-07;293.15;-1.58E-07;-2.15E-07;-2.75E-07;-2.17E-07;293.15;;;;
0.2;-6.47E-08;1.17E-06;293.16;-1.94E-07;-2.65E-07;-3.38E-07;-2.67E-07;293.16;;;;
0.25;-7.90E-08;1.43E-06;293.16;-2.37E-07;-3.23E-07;-4.12E-07;-3.26E-07;293.16;;;;
0.3;-9.52E-08;1.73E-06;293.16;-2.86E-07;-3.90E-07;-4.97E-07;-3.93E-07;293.16;;;;
0.35;-1.11E-07;2.02E-06;293.16;-3.35E-07;-4.57E-07;-5.82E-07;-4.61E-07;293.16;;;;
0.4;-1.27E-07;2.31E-06;293.16;-3.83E-07;-5.21E-07;-6.65E-07;-5.26E-07;293.16;;;;
0.45;-1.43E-07;2.59E-06;293.16;-4.30E-07;-5.85E-07;-7.46E-07;-5.91E-07;293.16;;;;
0.5;-1.58E-07;2.87E-06;293.16;-4.77E-07;-6.49E-07;-8.27E-07;-6.55E-07;293.16;;;;
0.55;-1.74E-07;3.15E-06;293.16;-5.23E-07;-7.13E-07;-9.08E-07;-7.19E-07;293.16;;;;
0.6;-1.89E-07;3.43E-06;293.17;-5.70E-07;-7.76E-07;-9.89E-07;-7.83E-07;293.17;;;;
0.65;-2.04E-07;3.71E-06;293.17;-6.17E-07;-8.39E-07;-1.07E-06;-8.47E-07;293.17;;;;
0.7;-2.20E-07;3.99E-06;293.17;-6.63E-07;-9.02E-07;-1.15E-06;-9.10E-07;293.17;;;;
0.75;-2.35E-07;4.27E-06;293.17;-7.09E-07;-9.65E-07;-1.23E-06;-9.74E-07;293.17;;;;
0.8;-2.50E-07;4.54E-06;293.17;-7.55E-07;-1.03E-06;-1.31E-06;-1.04E-06;293.17;;;;
0.85;-2.65E-07;4.81E-06;293.17;-8.00E-07;-1.09E-06;-1.39E-06;-1.10E-06;293.17;;;;
0.9;-2.80E-07;5.09E-06;293.17;-8.46E-07;-1.15E-06;-1.47E-06;-1.16E-06;293.17;;;;
0.95;-2.95E-07;5.36E-06;293.17;-8.91E-07;-1.21E-06;-1.55E-06;-1.22E-06;293.17;;;;
1;-3.09E-07;5.63E-06;293.18;-9.37E-07;-1.27E-06;-1.62E-06;-1.29E-06;293.18;;;;
1.05;-3.24E-07;5.90E-06;293.18;-9.81E-07;-1.34E-06;-1.70E-06;-1.35E-06;293.18;;;;
1.1;-3.39E-07;6.16E-06;293.18;-1.03E-06;-1.40E-06;-1.78E-06;-1.41E-06;293.18;;;;
1.15;-3.53E-07;6.43E-06;293.18;-1.07E-06;-1.46E-06;-1.85E-06;-1.47E-06;293.18;;;;
1.2;-3.67E-07;6.69E-06;293.18;-1.11E-06;-1.52E-06;-1.93E-06;-1.53E-06;293.18;;;;
1.25;-3.82E-07;6.96E-06;293.18;-1.16E-06;-1.58E-06;-2.01E-06;-1.59E-06;293.18;;;;
1.3;-3.96E-07;7.22E-06;293.18;-1.20E-06;-1.64E-06;-2.08E-06;-1.65E-06;293.18;;;;
1.35;-4.10E-07;7.48E-06;293.18;-1.25E-06;-1.70E-06;-2.16E-06;-1.71E-06;293.18;;;;
1.4;-4.24E-07;7.74E-06;293.19;-1.29E-06;-1.75E-06;-2.23E-06;-1.77E-06;293.19;;;;
1.45;-4.38E-07;8.00E-06;293.19;-1.33E-06;-1.81E-06;-2.31E-06;-1.83E-06;293.19;;;;
1.5;-4.52E-07;8.25E-06;293.19;-1.38E-06;-1.87E-06;-2.38E-06;-1.89E-06;293.19;;;;
1.55;-4.66E-07;8.51E-06;293.19;-1.42E-06;-1.93E-06;-2.45E-06;-1.94E-06;293.19;;;;
1.6;-4.79E-07;8.76E-06;293.19;-1.46E-06;-1.99E-06;-2.53E-06;-2.00E-06;293.19;;;;
1.65;-4.93E-07;9.01E-06;293.19;-1.50E-06;-2.04E-06;-2.60E-06;-2.06E-06;293.19;;;;
1.7;-5.06E-07;9.26E-06;293.19;-1.55E-06;-2.10E-06;-2.67E-06;-2.12E-06;293.19;;;;
1.75;-5.19E-07;9.51E-06;293.19;-1.59E-06;-2.16E-06;-2.74E-06;-2.17E-06;293.19;;;;
1.8;-5.33E-07;9.76E-06;293.2;-1.63E-06;-2.21E-06;-2.82E-06;-2.23E-06;293.2;;;;
1.85;-5.46E-07;1.00E-05;293.2;-1.67E-06;-2.27E-06;-2.89E-06;-2.29E-06;293.2;;;;
1.9;-5.59E-07;1.02E-05;293.2;-1.71E-06;-2.33E-06;-2.96E-06;-2.34E-06;293.2;;;;
1.95;-5.72E-07;1.05E-05;293.2;-1.75E-06;-2.38E-06;-3.03E-06;-2.40E-06;293.2;;;;
2;-5.85E-07;1.07E-05;293.2;-1.79E-06;-2.44E-06;-3.10E-06;-2.45E-06;293.2;;;;
2.05;-5.98E-07;1.10E-05;293.2;-1.83E-06;-2.49E-06;-3.16E-06;-2.51E-06;293.2;;;;
2.1;-6.09E-07;1.12E-05;293.2;-1.87E-06;-2.54E-06;-3.23E-06;-2.56E-06;293.2;;;;
2.15;-6.20E-07;1.14E-05;293.2;-1.91E-06;-2.59E-06;-3.29E-06;-2.61E-06;293.2;;;;
2.2;-6.30E-07;1.16E-05;293.2;-1.94E-06;-2.63E-06;-3.34E-06;-2.65E-06;293.2;;;;
2.25;-6.39E-07;1.18E-05;293.2;-1.97E-06;-2.67E-06;-3.39E-06;-2.69E-06;293.2;;;;
2.3;-6.48E-07;1.19E-05;293.21;-1.99E-06;-2.71E-06;-3.44E-06;-2.73E-06;293.21;;;;
2.35;-6.56E-07;1.21E-05;293.21;-2.02E-06;-2.74E-06;-3.48E-06;-2.76E-06;293.21;;;;
2.4;-6.63E-07;1.22E-05;293.21;-2.05E-06;-2.78E-06;-3.52E-06;-2.79E-06;293.21;;;;
2.45;-6.70E-07;1.23E-05;293.21;-2.07E-06;-2.81E-06;-3.56E-06;-2.82E-06;293.21;;;;
2.5;-6.76E-07;1.25E-05;293.21;-2.09E-06;-2.84E-06;-3.60E-06;-2.85E-06;293.21;;;;
2.55;-6.82E-07;1.26E-05;293.21;-2.11E-06;-2.86E-06;-3.63E-06;-2.88E-06;293.21;;;;
2.6;-6.88E-07;1.27E-05;293.21;-2.13E-06;-2.89E-06;-3.67E-06;-2.91E-06;293.21;;;;
2.65;-6.94E-07;1.28E-05;293.21;-2.15E-06;-2.91E-06;-3.70E-06;-2.93E-06;293.21;;;;
2.7;-6.99E-07;1.29E-05;293.21;-2.17E-06;-2.94E-06;-3.73E-06;-2.96E-06;293.21;;;;
2.75;-7.04E-07;1.30E-05;293.21;-2.18E-06;-2.96E-06;-3.76E-06;-2.98E-06;293.21;;;;
2.8;-7.08E-07;1.31E-05;293.21;-2.20E-06;-2.98E-06;-3.78E-06;-3.00E-06;293.21;;;;
2.85;-7.13E-07;1.32E-05;293.21;-2.22E-06;-3.01E-06;-3.81E-06;-3.02E-06;293.21;;;;
2.9;-7.18E-07;1.33E-05;293.21;-2.23E-06;-3.03E-06;-3.84E-06;-3.05E-06;293.21;;;;
2.95;-7.23E-07;1.34E-05;293.21;-2.25E-06;-3.05E-06;-3.87E-06;-3.07E-06;293.21;;;;
3;-7.27E-07;1.35E-05;293.21;-2.27E-06;-3.07E-06;-3.89E-06;-3.09E-06;293.21;;;;
3.05;-7.32E-07;1.36E-05;293.21;-2.29E-06;-3.10E-06;-3.92E-06;-3.11E-06;293.21;;;;
3.1;-7.37E-07;1.37E-05;293.21;-2.30E-06;-3.12E-06;-3.95E-06;-3.14E-06;293.21;;;;
3.15;-7.42E-07;1.38E-05;293.21;-2.32E-06;-3.14E-06;-3.98E-06;-3.16E-06;293.21;;;;
3.2;-7.48E-07;1.39E-05;293.21;-2.34E-06;-3.17E-06;-4.01E-06;-3.19E-06;293.21;;;;
3.25;-7.54E-07;1.40E-05;293.22;-2.36E-06;-3.20E-06;-4.05E-06;-3.21E-06;293.22;;;;
3.3;-7.60E-07;1.42E-05;293.22;-2.38E-06;-3.23E-06;-4.08E-06;-3.24E-06;293.22;;;;
3.35;-7.66E-07;1.43E-05;293.22;-2.40E-06;-3.26E-06;-4.12E-06;-3.27E-06;293.22;;;;
3.4;-7.73E-07;1.44E-05;293.22;-2.43E-06;-3.29E-06;-4.16E-06;-3.30E-06;293.22;;;;
3.45;-7.81E-07;1.46E-05;293.22;-2.45E-06;-3.32E-06;-4.20E-06;-3.34E-06;293.22;;;;
3.5;-7.89E-07;1.47E-05;293.22;-2.48E-06;-3.36E-06;-4.25E-06;-3.37E-06;293.22;;;;
3.55;-7.97E-07;1.49E-05;293.22;-2.51E-06;-3.40E-06;-4.30E-06;-3.41E-06;293.22;;;;
3.6;-8.07E-07;1.51E-05;293.22;-2.54E-06;-3.44E-06;-4.35E-06;-3.45E-06;293.22;;;;
3.65;-8.17E-07;1.53E-05;293.22;-2.57E-06;-3.48E-06;-4.40E-06;-3.50E-06;293.22;;;;
3.7;-8.28E-07;1.55E-05;293.22;-2.61E-06;-3.53E-06;-4.46E-06;-3.54E-06;293.22;;;;
3.75;-8.39E-07;1.57E-05;293.22;-2.65E-06;-3.58E-06;-4.53E-06;-3.59E-06;293.22;;;;
3.8;-8.52E-07;1.59E-05;293.22;-2.69E-06;-3.63E-06;-4.59E-06;-3.65E-06;293.22;;;;
3.85;-8.65E-07;1.62E-05;293.23;-2.73E-06;-3.69E-06;-4.67E-06;-3.71E-06;293.23;;;;
3.9;-8.79E-07;1.65E-05;293.23;-2.78E-06;-3.75E-06;-4.74E-06;-3.77E-06;293.23;;;;
3.95;-8.94E-07;1.68E-05;293.23;-2.82E-06;-3.82E-06;-4.83E-06;-3.83E-06;293.23;;;;
4;-9.11E-07;1.71E-05;293.23;-2.88E-06;-3.89E-06;-4.92E-06;-3.90E-06;293.23;;;;
4.05;-9.28E-07;1.74E-05;293.23;-2.93E-06;-3.96E-06;-5.01E-06;-3.98E-06;293.23;;;;
4.1;-9.48E-07;1.78E-05;293.23;-2.99E-06;-4.05E-06;-5.12E-06;-4.06E-06;293.23;;;;
4.15;-9.68E-07;1.81E-05;293.23;-3.06E-06;-4.14E-06;-5.23E-06;-4.15E-06;293.23;;;;
4.2;-9.89E-07;1.85E-05;293.24;-3.12E-06;-4.22E-06;-5.34E-06;-4.24E-06;293.24;;;;
4.25;-1.01E-06;1.89E-05;293.24;-3.19E-06;-4.31E-06;-5.45E-06;-4.33E-06;293.24;;;;
4.3;-1.03E-06;1.94E-05;293.24;-3.26E-06;-4.41E-06;-5.58E-06;-4.43E-06;293.24;;;;
4.35;-1.06E-06;1.98E-05;293.24;-3.34E-06;-4.52E-06;-5.71E-06;-4.54E-06;293.24;;;;
4.4;-1.09E-06;2.03E-05;293.24;-3.43E-06;-4.63E-06;-5.85E-06;-4.65E-06;293.24;;;;
4.45;-1.11E-06;2.09E-05;293.25;-3.51E-06;-4.75E-06;-6.00E-06;-4.77E-06;293.25;;;;
4.5;-1.14E-06;2.14E-05;293.25;-3.61E-06;-4.88E-06;-6.16E-06;-4.90E-06;293.25;;;;
4.55;-1.18E-06;2.20E-05;293.47;-3.71E-06;-5.01E-06;-6.34E-06;-5.03E-06;293.47;;;;
4.6;-8.25E-06;2.39E-04;294.25;-3.42E-05;-4.82E-05;-6.26E-05;-4.86E-05;294.25;;;;
4.65;-1.55E-05;4.63E-04;295.27;-6.56E-05;-9.27E-05;-1.21E-04;-9.37E-05;295.27;;;;
4.7;-2.40E-05;7.11E-04;296.41;-1.01E-04;-1.43E-04;-1.86E-04;-1.44E-04;296.41;;;;
4.75;-3.26E-05;9.60E-04;297.53;-1.37E-04;-1.93E-04;-2.51E-04;-1.95E-04;297.53;;;;
4.8;-4.00E-05;0.0011869;298.49;-1.69E-04;-2.38E-04;-3.10E-04;-2.41E-04;298.49;;;;
4.85;-4.27E-05;0.0013285;299.14;-1.86E-04;-2.64E-04;-3.45E-04;-2.67E-04;299.14;;;;
4.9;-3.96E-05;0.0013649;299.26;-1.87E-04;-2.67E-04;-3.49E-04;-2.69E-04;299.26;;;;
4.95;-3.21E-05;0.0013208;298.98;-1.74E-04;-2.51E-04;-3.30E-04;-2.54E-04;298.98;;;;
5;-1.84E-05;0.0011664;298.37;-1.43E-04;-2.10E-04;-2.80E-04;-2.13E-04;298.37;;;;
5.05;-6.30E-06;0.0010392;297.77;-1.17E-04;-1.76E-04;-2.37E-04;-1.78E-04;297.77;;;;
5.1;3.94E-06;9.47E-04;297.31;-9.57E-05;-1.49E-04;-2.05E-04;-1.51E-04;297.31;;;;
5.15;1.39E-05;8.60E-04;296.93;-7.58E-05;-1.24E-04;-1.73E-04;-1.25E-04;296.93;;;;
5.2;2.20E-05;8.05E-04;296.61;-6.12E-05;-1.06E-04;-1.52E-04;-1.07E-04;296.61;;;;
5.25;3.05E-05;7.45E-04;296.31;-4.56E-05;-8.62E-05;-1.28E-04;-8.74E-05;296.31;;;;
5.3;3.90E-05;6.84E-04;296.03;-2.99E-05;-6.66E-05;-1.04E-04;-6.77E-05;296.03;;;;
5.35;4.65E-05;6.41E-04;295.78;-1.72E-05;-5.10E-05;-8.56E-05;-5.19E-05;295.78;;;;
5.4;5.41E-05;5.96E-04;295.55;-4.15E-06;-3.49E-05;-6.65E-05;-3.57E-05;295.55;;;;
5.45;6.17E-05;5.51E-04;295.33;8.89E-06;-1.89E-05;-4.73E-05;-1.95E-05;295.33;;;;
5.5;6.86E-05;5.19E-04;295.14;1.97E-05;-5.86E-06;-3.20E-05;-6.39E-06;295.14;;;;
5.55;7.56E-05;4.87E-04;294.97;3.08E-05;7.46E-06;-1.63E-05;7.03E-06;294.97;;;;
5.6;8.25E-05;4.54E-04;294.81;4.18E-05;2.08E-05;-5.63E-07;2.05E-05;294.81;;;;
5.65;8.89E-05;4.31E-04;294.66;5.13E-05;3.20E-05;1.24E-05;3.17E-05;294.66;;;;
5.7;9.54E-05;4.07E-04;294.53;6.08E-05;4.32E-05;2.54E-05;4.30E-05;294.53;;;;
5.75;1.02E-04;3.84E-04;294.41;7.03E-05;5.44E-05;3.85E-05;5.43E-05;294.41;;;;
5.8;1.08E-04;3.67E-04;294.3;7.87E-05;6.41E-05;4.96E-05;6.41E-05;294.3;;;;
5.85;1.14E-04;3.50E-04;294.2;8.71E-05;7.39E-05;6.07E-05;7.39E-05;294.2;;;;
5.9;1.20E-04;3.33E-04;294.1;9.55E-05;8.36E-05;7.18E-05;8.37E-05;294.1;;;;
5.95;1.26E-04;3.22E-04;294.02;1.03E-04;9.21E-05;8.13E-05;9.22E-05;294.02;;;;
6;1.31E-04;3.10E-04;293.94;1.11E-04;1.01E-04;9.09E-05;1.01E-04;293.94;;;;
6.05;1.37E-04;2.99E-04;293.87;1.18E-04;1.09E-04;1.01E-04;1.09E-04;293.87;;;;
6.1;1.43E-04;2.92E-04;293.81;1.25E-04;1.17E-04;1.09E-04;1.17E-04;293.81;;;;
6.15;1.48E-04;2.84E-04;293.75;1.32E-04;1.24E-04;1.17E-04;1.25E-04;293.75;;;;
6.2;1.54E-04;2.76E-04;293.7;1.39E-04;1.32E-04;1.26E-04;1.33E-04;293.7;;;;
6.25;1.59E-04;2.72E-04;293.65;1.45E-04;1.39E-04;1.33E-04;1.39E-04;293.65;;;;
6.3;1.65E-04;2.67E-04;293.61;1.52E-04;1.46E-04;1.41E-04;1.47E-04;293.61;;;;
6.35;1.70E-04;2.62E-04;293.57;1.58E-04;1.53E-04;1.49E-04;1.54E-04;293.57;;;;
6.4;1.75E-04;2.59E-04;293.53;1.64E-04;1.60E-04;1.56E-04;1.60E-04;293.53;;;;
6.45;1.81E-04;2.57E-04;293.5;1.70E-04;1.66E-04;1.63E-04;1.67E-04;293.5;;;;
6.5;1.86E-04;2.56E-04;293.47;1.76E-04;1.72E-04;1.69E-04;1.73E-04;293.47;;;;
6.55;1.91E-04;2.56E-04;293.44;1.82E-04;1.78E-04;1.76E-04;1.79E-04;293.44;;;;
6.6;1.96E-04;2.55E-04;293.41;1.88E-04;1.85E-04;1.82E-04;1.85E-04;293.41;;;;
6.65;2.01E-04;2.54E-04;293.39;1.93E-04;1.91E-04;1.89E-04;1.91E-04;293.39;;;;
6.7;2.06E-04;2.54E-04;293.37;1.99E-04;1.97E-04;1.95E-04;1.97E-04;293.37;;;;
6.75;2.11E-04;2.55E-04;293.35;2.04E-04;2.02E-04;2.01E-04;2.03E-04;293.35;;;;
6.8;2.16E-04;2.56E-04;293.33;2.10E-04;2.08E-04;2.07E-04;2.09E-04;293.33;;;;
6.85;2.21E-04;2.57E-04;293.32;2.15E-04;2.14E-04;2.13E-04;2.14E-04;293.32;;;;
6.9;2.26E-04;2.59E-04;293.3;2.21E-04;2.19E-04;2.18E-04;2.20E-04;293.3;;;;
6.95;2.31E-04;2.61E-04;293.29;2.26E-04;2.25E-04;2.24E-04;2.25E-04;293.29;;;;
7;2.36E-04;2.63E-04;293.28;2.31E-04;2.30E-04;2.30E-04;2.31E-04;293.28;;;;
7.05;2.41E-04;2.66E-04;293.26;2.37E-04;2.35E-04;2.35E-04;2.36E-04;293.26;;;;
7.1;2.46E-04;2.69E-04;293.26;2.42E-04;2.41E-04;2.41E-04;2.41E-04;293.26;;;;
7.15;2.51E-04;2.72E-04;293.25;2.47E-04;2.46E-04;2.46E-04;2.47E-04;293.25;;;;
7.2;2.56E-04;2.74E-04;293.24;2.52E-04;2.51E-04;2.51E-04;2.52E-04;293.24;;;;
7.25;2.61E-04;2.78E-04;293.23;2.57E-04;2.57E-04;2.57E-04;2.57E-04;293.23;;;;
7.3;2.66E-04;2.81E-04;293.22;2.62E-04;2.62E-04;2.62E-04;2.62E-04;293.22;;;;
7.35;2.71E-04;2.84E-04;293.22;2.67E-04;2.67E-04;2.67E-04;2.68E-04;293.22;;;;
7.4;2.76E-04;2.88E-04;293.21;2.72E-04;2.72E-04;2.73E-04;2.73E-04;293.21;;;;
7.45;2.81E-04;2.92E-04;293.2;2.77E-04;2.77E-04;2.78E-04;2.78E-04;293.2;;;;
7.5;2.86E-04;2.96E-04;293.2;2.82E-04;2.82E-04;2.83E-04;2.83E-04;293.2;;;;
7.55;2.91E-04;2.99E-04;293.2;2.87E-04;2.87E-04;2.88E-04;2.88E-04;293.2;;;;
7.6;2.95E-04;3.03E-04;293.19;2.92E-04;2.92E-04;2.93E-04;2.93E-04;293.19;;;;
7.65;3.00E-04;3.07E-04;293.19;2.97E-04;2.97E-04;2.98E-04;2.98E-04;293.19;;;;
7.7;3.05E-04;3.11E-04;293.18;3.02E-04;3.02E-04;3.03E-04;3.03E-04;293.18;;;;
7.75;3.10E-04;3.15E-04;293.18;3.07E-04;3.07E-04;3.08E-04;3.08E-04;293.18;;;;
7.8;3.15E-04;3.20E-04;293.18;3.12E-04;3.12E-04;3.13E-04;3.13E-04;293.18;;;;
7.85;3.20E-04;3.24E-04;293.18;3.17E-04;3.17E-04;3.18E-04;3.18E-04;293.18;;;;
7.9;3.25E-04;3.28E-04;293.17;3.22E-04;3.22E-04;3.23E-04;3.23E-04;293.17;;;;
7.95;3.30E-04;3.32E-04;293.17;3.27E-04;3.27E-04;3.28E-04;3.28E-04;293.17;;;;
8;3.34E-04;3.37E-04;293.17;3.32E-04;3.32E-04;3.33E-04;3.33E-04;293.17;;;;
8.05;3.39E-04;3.41E-04;293.17;3.37E-04;3.37E-04;3.38E-04;3.38E-04;293.17;;;;
8.1;3.44E-04;3.46E-04;293.17;3.42E-04;3.42E-04;3.43E-04;3.43E-04;293.17;;;;
8.15;3.49E-04;3.50E-04;293.16;3.47E-04;3.47E-04;3.48E-04;3.48E-04;293.16;;;;
8.2;3.54E-04;3.55E-04;293.16;3.52E-04;3.52E-04;3.53E-04;3.53E-04;293.16;;;;
8.25;3.59E-04;3.59E-04;293.16;3.57E-04;3.57E-04;3.58E-04;3.57E-04;293.16;;;;
8.3;3.64E-04;3.64E-04;293.16;3.61E-04;3.62E-04;3.63E-04;3.62E-04;293.16;;;;
8.35;3.68E-04;3.68E-04;293.16;3.66E-04;3.67E-04;3.68E-04;3.67E-04;293.16;;;;
8.4;3.73E-04;3.73E-04;293.16;3.71E-04;3.72E-04;3.73E-04;3.72E-04;293.16;;;;
8.45;3.78E-04;3.77E-04;293.16;3.76E-04;3.76E-04;3.78E-04;3.77E-04;293.16;;;;
8.5;3.83E-04;3.82E-04;293.16;3.81E-04;3.81E-04;3.83E-04;3.82E-04;293.16;;;;
8.55;3.88E-04;3.86E-04;293.16;3.86E-04;3.86E-04;3.88E-04;3.87E-04;293.16;;;;
8.6;3.93E-04;3.91E-04;293.16;3.91E-04;3.91E-04;3.93E-04;3.92E-04;293.16;;;;
8.65;3.97E-04;3.96E-04;293.16;3.96E-04;3.96E-04;3.98E-04;3.97E-04;293.16;;;;
8.7;4.02E-04;4.00E-04;293.16;4.00E-04;4.01E-04;4.03E-04;4.01E-04;293.16;;;;
8.75;4.07E-04;4.05E-04;293.15;4.05E-04;4.06E-04;4.07E-04;4.06E-04;293.15;;;;
8.8;4.12E-04;4.10E-04;293.15;4.10E-04;4.11E-04;4.12E-04;4.11E-04;293.15;;;;
8.85;4.17E-04;4.14E-04;293.15;4.15E-04;4.15E-04;4.17E-04;4.16E-04;293.15;;;;
8.9;4.22E-04;4.19E-04;293.15;4.20E-04;4.20E-04;4.22E-04;4.21E-04;293.15;;;;
8.95;4.26E-04;4.23E-04;293.15;4.25E-04;4.25E-04;4.27E-04;4.26E-04;293.15;;;;
9;4.31E-04;4.28E-04;293.15;4.30E-04;4.30E-04;4.32E-04;4.31E-04;293.15;;;;
9.05;4.36E-04;4.33E-04;293.15;4.34E-04;4.35E-04;4.37E-04;4.35E-04;293.15;;;;
9.1;4.41E-04;4.37E-04;293.15;4.39E-04;4.40E-04;4.42E-04;4.40E-04;293.15;;;;
9.15;4.46E-04;4.42E-04;293.15;4.44E-04;4.45E-04;4.47E-04;4.45E-04;293.15;;;;
9.2;4.51E-04;4.47E-04;293.15;4.49E-04;4.49E-04;4.51E-04;4.50E-04;293.15;;;;
9.25;4.55E-04;4.51E-04;293.15;4.54E-04;4.54E-04;4.56E-04;4.55E-04;293.15;;;;
9.3;4.60E-04;4.56E-04;293.15;4.59E-04;4.59E-04;4.61E-04;4.60E-04;293.15;;;;
9.35;4.65E-04;4.61E-04;293.15;4.63E-04;4.64E-04;4.66E-04;4.65E-04;293.15;;;;
9.4;4.70E-04;4.65E-04;293.15;4.68E-04;4.69E-04;4.71E-04;4.69E-04;293.15;;;;
9.45;4.75E-04;4.70E-04;293.15;4.73E-04;4.74E-04;4.76E-04;4.74E-04;293.15;;;;
9.5;4.80E-04;4.75E-04;293.15;4.78E-04;4.79E-04;4.81E-04;4.79E-04;293.15;;;;
9.55;4.84E-04;4.79E-04;293.15;4.83E-04;4.83E-04;4.86E-04;4.84E-04;293.15;;;;
9.6;4.89E-04;4.84E-04;293.15;4.88E-04;4.88E-04;4.91E-04;4.89E-04;293.15;;;;
9.65;4.94E-04;4.89E-04;293.15;4.93E-04;4.93E-04;4.95E-04;4.94E-04;293.15;;;;
9.7;4.99E-04;4.94E-04;293.15;4.97E-04;4.98E-04;5.00E-04;4.98E-04;293.15;;;;
9.75;5.04E-04;4.98E-04;293.15;5.02E-04;5.03E-04;5.05E-04;5.03E-04;293.15;;;;
9.8;5.09E-04;5.03E-04;293.15;5.07E-04;5.08E-04;5.10E-04;5.08E-04;293.15;;;;
9.85;5.13E-04;5.08E-04;293.15;5.12E-04;5.12E-04;5.15E-04;5.13E-04;293.15;;;;
9.9;5.18E-04;5.12E-04;293.15;5.17E-04;5.17E-04;5.20E-04;5.18E-04;293.15;;;;
9.95;5.23E-04;5.17E-04;293.15;5.22E-04;5.22E-04;5.25E-04;5.23E-04;293.15;;;;
10;5.28E-04;5.22E-04;293.15;5.26E-04;5.27E-04;5.30E-04;5.27E-04;293.15;;;;
10.05;5.33E-04;5.26E-04;293.15;5.31E-04;5.32E-04;5.35E-04;5.32E-04;293.15;;;;
10.1;5.38E-04;5.31E-04;293.15;5.36E-04;5.37E-04;5.39E-04;5.37E-04;293.15;;;;
10.15;5.42E-04;5.36E-04;293.15;5.41E-04;5.41E-04;5.44E-04;5.42E-04;293.15;;;;
10.2;5.47E-04;5.40E-04;293.15;5.46E-04;5.46E-04;5.49E-04;5.47E-04;293.15;;;;
10.25;5.52E-04;5.45E-04;293.15;5.51E-04;5.51E-04;5.54E-04;5.52E-04;293.15;;;;
10.3;5.57E-04;5.50E-04;293.15;5.55E-04;5.56E-04;5.59E-04;5.56E-04;293.15;;;;
10.35;5.62E-04;5.54E-04;293.15;5.60E-04;5.61E-04;5.64E-04;5.61E-04;293.15;;;;
10.4;5.67E-04;5.59E-04;293.15;5.65E-04;5.66E-04;5.69E-04;5.66E-04;293.15;;;;
10.45;5.71E-04;5.64E-04;293.15;5.70E-04;5.70E-04;5.74E-04;5.71E-04;293.15;;;;
10.5;5.76E-04;5.69E-04;293.15;5.75E-04;5.75E-04;5.78E-04;5.76E-04;293.15;;;;
