Time;Volt_n1_V_out;Volt_p1_V_out;Temp_PVDF_1;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out;Temp_PVDF_2
0;9.29E-18;-1.90E-17;293.15;-3.58E-18;1.01E-17;-1.02E-17;-1.43E-17;293.15
0.05;1.91E-08;1.34E-08;293.15;-1.67E-07;7.20E-08;2.81E-08;6.96E-08;293.15
0.1;4.91E-08;3.49E-08;293.15;-4.32E-07;1.87E-07;7.29E-08;1.81E-07;293.15
0.15;7.22E-08;5.14E-08;293.15;-6.35E-07;2.74E-07;1.07E-07;2.65E-07;293.15
0.2;8.86E-08;6.33E-08;293.16;-7.81E-07;3.37E-07;1.32E-07;3.26E-07;293.16
0.25;1.08E-07;7.73E-08;293.16;-9.53E-07;4.11E-07;1.61E-07;3.98E-07;293.16
0.3;1.30E-07;9.33E-08;293.16;-1.15E-06;4.96E-07;1.94E-07;4.80E-07;293.16
0.35;1.52E-07;1.09E-07;293.16;-1.35E-06;5.81E-07;2.28E-07;5.62E-07;293.16
0.4;1.74E-07;1.25E-07;293.16;-1.54E-06;6.63E-07;2.60E-07;6.42E-07;293.16
0.45;1.95E-07;1.40E-07;293.16;-1.72E-06;7.44E-07;2.92E-07;7.21E-07;293.16
0.5;2.16E-07;1.56E-07;293.16;-1.91E-06;8.25E-07;3.23E-07;7.99E-07;293.16
0.55;2.37E-07;1.71E-07;293.16;-2.10E-06;9.06E-07;3.55E-07;8.77E-07;293.16
0.6;2.58E-07;1.86E-07;293.17;-2.28E-06;9.87E-07;3.87E-07;9.55E-07;293.17
0.65;2.78E-07;2.01E-07;293.17;-2.47E-06;1.07E-06;4.18E-07;1.03E-06;293.17
0.7;2.99E-07;2.17E-07;293.17;-2.65E-06;1.15E-06;4.50E-07;1.11E-06;293.17
0.75;3.20E-07;2.32E-07;293.17;-2.84E-06;1.23E-06;4.81E-07;1.19E-06;293.17
0.8;3.40E-07;2.47E-07;293.17;-3.02E-06;1.31E-06;5.12E-07;1.26E-06;293.17
0.85;3.60E-07;2.62E-07;293.17;-3.20E-06;1.38E-06;5.43E-07;1.34E-06;293.17
0.9;3.80E-07;2.77E-07;293.17;-3.39E-06;1.46E-06;5.73E-07;1.42E-06;293.17
0.95;4.00E-07;2.92E-07;293.17;-3.57E-06;1.54E-06;6.04E-07;1.49E-06;293.17
1;4.20E-07;3.07E-07;293.18;-3.75E-06;1.62E-06;6.34E-07;1.57E-06;293.18
1.05;4.40E-07;3.21E-07;293.18;-3.92E-06;1.70E-06;6.65E-07;1.64E-06;293.18
1.1;4.60E-07;3.36E-07;293.18;-4.10E-06;1.77E-06;6.95E-07;1.72E-06;293.18
1.15;4.79E-07;3.51E-07;293.18;-4.28E-06;1.85E-06;7.25E-07;1.79E-06;293.18
1.2;4.98E-07;3.65E-07;293.18;-4.45E-06;1.93E-06;7.55E-07;1.87E-06;293.18
1.25;5.18E-07;3.80E-07;293.18;-4.63E-06;2.00E-06;7.84E-07;1.94E-06;293.18
1.3;5.37E-07;3.94E-07;293.18;-4.80E-06;2.08E-06;8.14E-07;2.01E-06;293.18
1.35;5.56E-07;4.09E-07;293.18;-4.98E-06;2.15E-06;8.43E-07;2.09E-06;293.18
1.4;5.75E-07;4.23E-07;293.19;-5.15E-06;2.23E-06;8.72E-07;2.16E-06;293.19
1.45;5.93E-07;4.38E-07;293.19;-5.32E-06;2.30E-06;9.01E-07;2.23E-06;293.19
1.5;6.12E-07;4.52E-07;293.19;-5.49E-06;2.37E-06;9.30E-07;2.30E-06;293.19
1.55;6.30E-07;4.66E-07;293.19;-5.66E-06;2.45E-06;9.59E-07;2.37E-06;293.19
1.6;6.49E-07;4.80E-07;293.19;-5.83E-06;2.52E-06;9.87E-07;2.45E-06;293.19
1.65;6.67E-07;4.94E-07;293.19;-6.00E-06;2.59E-06;1.02E-06;2.52E-06;293.19
1.7;6.85E-07;5.08E-07;293.19;-6.16E-06;2.66E-06;1.04E-06;2.59E-06;293.19
1.75;7.03E-07;5.22E-07;293.19;-6.33E-06;2.73E-06;1.07E-06;2.66E-06;293.19
1.8;7.21E-07;5.36E-07;293.2;-6.49E-06;2.81E-06;1.10E-06;2.73E-06;293.2
1.85;7.38E-07;5.49E-07;293.2;-6.66E-06;2.88E-06;1.13E-06;2.79E-06;293.2
1.9;7.56E-07;5.63E-07;293.2;-6.82E-06;2.95E-06;1.15E-06;2.86E-06;293.2
1.95;7.73E-07;5.77E-07;293.2;-6.98E-06;3.02E-06;1.18E-06;2.93E-06;293.2
2;7.90E-07;5.90E-07;293.2;-7.14E-06;3.09E-06;1.21E-06;3.00E-06;293.2
2.05;8.07E-07;6.04E-07;293.2;-7.30E-06;3.15E-06;1.23E-06;3.07E-06;293.2
2.1;8.23E-07;6.16E-07;293.2;-7.45E-06;3.22E-06;1.26E-06;3.13E-06;293.2
2.15;8.37E-07;6.28E-07;293.2;-7.58E-06;3.28E-06;1.28E-06;3.19E-06;293.2
2.2;8.50E-07;6.38E-07;293.2;-7.71E-06;3.33E-06;1.30E-06;3.24E-06;293.2
2.25;8.62E-07;6.48E-07;293.2;-7.82E-06;3.38E-06;1.32E-06;3.29E-06;293.2
2.3;8.74E-07;6.58E-07;293.21;-7.93E-06;3.43E-06;1.34E-06;3.34E-06;293.21
2.35;8.84E-07;6.67E-07;293.21;-8.03E-06;3.47E-06;1.36E-06;3.38E-06;293.21
2.4;8.94E-07;6.75E-07;293.21;-8.13E-06;3.51E-06;1.37E-06;3.42E-06;293.21
2.45;9.03E-07;6.83E-07;293.21;-8.22E-06;3.55E-06;1.39E-06;3.46E-06;293.21
2.5;9.11E-07;6.90E-07;293.21;-8.30E-06;3.59E-06;1.40E-06;3.49E-06;293.21
2.55;9.19E-07;6.97E-07;293.21;-8.38E-06;3.62E-06;1.42E-06;3.53E-06;293.21
2.6;9.26E-07;7.04E-07;293.21;-8.46E-06;3.66E-06;1.43E-06;3.56E-06;293.21
2.65;9.33E-07;7.10E-07;293.21;-8.53E-06;3.69E-06;1.44E-06;3.59E-06;293.21
2.7;9.40E-07;7.17E-07;293.21;-8.60E-06;3.72E-06;1.45E-06;3.62E-06;293.21
2.75;9.47E-07;7.23E-07;293.21;-8.67E-06;3.75E-06;1.46E-06;3.65E-06;293.21
2.8;9.53E-07;7.29E-07;293.21;-8.73E-06;3.77E-06;1.47E-06;3.68E-06;293.21
2.85;9.59E-07;7.34E-07;293.21;-8.79E-06;3.80E-06;1.49E-06;3.71E-06;293.21
2.9;9.65E-07;7.40E-07;293.21;-8.86E-06;3.83E-06;1.50E-06;3.74E-06;293.21
2.95;9.71E-07;7.46E-07;293.21;-8.92E-06;3.86E-06;1.51E-06;3.76E-06;293.21
3;9.77E-07;7.52E-07;293.21;-8.99E-06;3.88E-06;1.52E-06;3.79E-06;293.21
3.05;9.83E-07;7.58E-07;293.21;-9.05E-06;3.91E-06;1.53E-06;3.82E-06;293.21
3.1;9.90E-07;7.64E-07;293.21;-9.12E-06;3.94E-06;1.54E-06;3.85E-06;293.21
3.15;9.97E-07;7.70E-07;293.21;-9.19E-06;3.97E-06;1.55E-06;3.88E-06;293.21
3.2;1.00E-06;7.77E-07;293.21;-9.26E-06;4.00E-06;1.56E-06;3.91E-06;293.21
3.25;1.01E-06;7.84E-07;293.22;-9.34E-06;4.04E-06;1.58E-06;3.95E-06;293.22
3.3;1.02E-06;7.91E-07;293.22;-9.42E-06;4.07E-06;1.59E-06;3.98E-06;293.22
3.35;1.03E-06;7.99E-07;293.22;-9.51E-06;4.11E-06;1.60E-06;4.02E-06;293.22
3.4;1.04E-06;8.07E-07;293.22;-9.60E-06;4.15E-06;1.62E-06;4.06E-06;293.22
3.45;1.05E-06;8.15E-07;293.22;-9.70E-06;4.19E-06;1.63E-06;4.10E-06;293.22
3.5;1.06E-06;8.24E-07;293.22;-9.80E-06;4.24E-06;1.65E-06;4.14E-06;293.22
3.55;1.07E-06;8.34E-07;293.22;-9.92E-06;4.29E-06;1.67E-06;4.19E-06;293.22
3.6;1.08E-06;8.45E-07;293.22;-1.00E-05;4.34E-06;1.69E-06;4.24E-06;293.22
3.65;1.09E-06;8.56E-07;293.22;-1.02E-05;4.39E-06;1.71E-06;4.30E-06;293.22
