Time;Volt_n1_V_out;Volt_p1_V_out;Temp_PVDF_1;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out;Temp_PVDF_2
0;7.64E-18;-3.77E-18;293.15;7.10E-18;3.44E-18;-1.18E-17;-1.92E-17;293.15
0.05;1.27E-08;3.06E-07;293.15;-5.92E-08;-4.93E-09;1.25E-08;-3.79E-09;293.15
0.1;3.32E-08;7.92E-07;293.15;-1.54E-07;-1.30E-08;3.21E-08;-1.00E-08;293.15
0.15;4.88E-08;1.16E-06;293.15;-2.26E-07;-1.91E-08;4.72E-08;-1.48E-08;293.15
0.2;6.01E-08;1.43E-06;293.16;-2.78E-07;-2.35E-08;5.79E-08;-1.83E-08;293.16
0.25;7.33E-08;1.75E-06;293.16;-3.39E-07;-2.89E-08;7.05E-08;-2.24E-08;293.16
0.3;8.84E-08;2.10E-06;293.16;-4.09E-07;-3.48E-08;8.50E-08;-2.71E-08;293.16
0.35;1.04E-07;2.46E-06;293.16;-4.79E-07;-4.09E-08;9.95E-08;-3.19E-08;293.16
0.4;1.18E-07;2.81E-06;293.16;-5.48E-07;-4.68E-08;1.13E-07;-3.65E-08;293.16
0.45;1.33E-07;3.16E-06;293.16;-6.15E-07;-5.26E-08;1.27E-07;-4.11E-08;293.16
0.5;1.48E-07;3.50E-06;293.16;-6.82E-07;-5.84E-08;1.41E-07;-4.57E-08;293.16
0.55;1.62E-07;3.84E-06;293.16;-7.48E-07;-6.42E-08;1.55E-07;-5.03E-08;293.16
0.6;1.77E-07;4.18E-06;293.17;-8.15E-07;-7.00E-08;1.68E-07;-5.49E-08;293.17
0.65;1.91E-07;4.52E-06;293.17;-8.82E-07;-7.58E-08;1.82E-07;-5.95E-08;293.17
0.7;2.05E-07;4.86E-06;293.17;-9.48E-07;-8.16E-08;1.96E-07;-6.42E-08;293.17
0.75;2.20E-07;5.20E-06;293.17;-1.01E-06;-8.74E-08;2.09E-07;-6.88E-08;293.17
0.8;2.34E-07;5.53E-06;293.17;-1.08E-06;-9.32E-08;2.23E-07;-7.34E-08;293.17
0.85;2.48E-07;5.87E-06;293.17;-1.14E-06;-9.89E-08;2.36E-07;-7.81E-08;293.17
0.9;2.63E-07;6.20E-06;293.17;-1.21E-06;-1.05E-07;2.50E-07;-8.27E-08;293.17
0.95;2.77E-07;6.53E-06;293.17;-1.27E-06;-1.10E-07;2.63E-07;-8.73E-08;293.17
1;2.91E-07;6.86E-06;293.18;-1.34E-06;-1.16E-07;2.76E-07;-9.20E-08;293.18
1.05;3.05E-07;7.19E-06;293.18;-1.40E-06;-1.22E-07;2.90E-07;-9.66E-08;293.18
1.1;3.19E-07;7.51E-06;293.18;-1.47E-06;-1.27E-07;3.03E-07;-1.01E-07;293.18
1.15;3.33E-07;7.84E-06;293.18;-1.53E-06;-1.33E-07;3.16E-07;-1.06E-07;293.18
1.2;3.47E-07;8.16E-06;293.18;-1.59E-06;-1.39E-07;3.29E-07;-1.10E-07;293.18
1.25;3.60E-07;8.48E-06;293.18;-1.66E-06;-1.44E-07;3.42E-07;-1.15E-07;293.18
1.3;3.74E-07;8.80E-06;293.18;-1.72E-06;-1.50E-07;3.56E-07;-1.20E-07;293.18
1.35;3.88E-07;9.11E-06;293.18;-1.78E-06;-1.55E-07;3.69E-07;-1.24E-07;293.18
1.4;4.02E-07;9.43E-06;293.19;-1.84E-06;-1.61E-07;3.82E-07;-1.29E-07;293.19
1.45;4.15E-07;9.74E-06;293.19;-1.91E-06;-1.67E-07;3.95E-07;-1.34E-07;293.19
1.5;4.29E-07;1.01E-05;293.19;-1.97E-06;-1.72E-07;4.08E-07;-1.38E-07;293.19
1.55;4.42E-07;1.04E-05;293.19;-2.03E-06;-1.78E-07;4.20E-07;-1.43E-07;293.19
1.6;4.55E-07;1.07E-05;293.19;-2.09E-06;-1.83E-07;4.33E-07;-1.47E-07;293.19
1.65;4.69E-07;1.10E-05;293.19;-2.15E-06;-1.88E-07;4.46E-07;-1.52E-07;293.19
1.7;4.82E-07;1.13E-05;293.19;-2.21E-06;-1.94E-07;4.59E-07;-1.57E-07;293.19
1.75;4.95E-07;1.16E-05;293.19;-2.27E-06;-1.99E-07;4.71E-07;-1.61E-07;293.19
1.8;5.08E-07;1.19E-05;293.2;-2.33E-06;-2.05E-07;4.84E-07;-1.66E-07;293.2
1.85;5.21E-07;1.22E-05;293.2;-2.39E-06;-2.10E-07;4.97E-07;-1.70E-07;293.2
1.9;5.34E-07;1.25E-05;293.2;-2.45E-06;-2.15E-07;5.09E-07;-1.75E-07;293.2
1.95;5.47E-07;1.28E-05;293.2;-2.51E-06;-2.21E-07;5.22E-07;-1.80E-07;293.2
2;5.60E-07;1.31E-05;293.2;-2.56E-06;-2.26E-07;5.34E-07;-1.84E-07;293.2
2.05;5.72E-07;1.34E-05;293.2;-2.62E-06;-2.31E-07;5.47E-07;-1.89E-07;293.2
2.1;5.84E-07;1.36E-05;293.2;-2.68E-06;-2.36E-07;5.58E-07;-1.93E-07;293.2
2.15;5.95E-07;1.39E-05;293.2;-2.72E-06;-2.40E-07;5.69E-07;-1.97E-07;293.2
2.2;6.05E-07;1.41E-05;293.2;-2.77E-06;-2.45E-07;5.79E-07;-2.01E-07;293.2
2.25;6.15E-07;1.43E-05;293.2;-2.81E-06;-2.49E-07;5.88E-07;-2.04E-07;293.2
2.3;6.24E-07;1.45E-05;293.21;-2.85E-06;-2.52E-07;5.97E-07;-2.08E-07;293.21
2.35;6.32E-07;1.47E-05;293.21;-2.89E-06;-2.56E-07;6.05E-07;-2.11E-07;293.21
2.4;6.40E-07;1.49E-05;293.21;-2.92E-06;-2.59E-07;6.13E-07;-2.14E-07;293.21
2.45;6.47E-07;1.50E-05;293.21;-2.96E-06;-2.62E-07;6.21E-07;-2.17E-07;293.21
2.5;6.54E-07;1.52E-05;293.21;-2.99E-06;-2.65E-07;6.28E-07;-2.20E-07;293.21
2.55;6.61E-07;1.53E-05;293.21;-3.02E-06;-2.68E-07;6.35E-07;-2.23E-07;293.21
2.6;6.67E-07;1.55E-05;293.21;-3.05E-06;-2.71E-07;6.41E-07;-2.26E-07;293.21
2.65;6.73E-07;1.56E-05;293.21;-3.07E-06;-2.74E-07;6.48E-07;-2.28E-07;293.21
2.7;6.79E-07;1.57E-05;293.21;-3.10E-06;-2.76E-07;6.54E-07;-2.31E-07;293.21
2.75;6.85E-07;1.59E-05;293.21;-3.12E-06;-2.79E-07;6.60E-07;-2.33E-07;293.21
2.8;6.90E-07;1.60E-05;293.21;-3.15E-06;-2.81E-07;6.66E-07;-2.36E-07;293.21
2.85;6.96E-07;1.61E-05;293.21;-3.17E-06;-2.83E-07;6.72E-07;-2.38E-07;293.21
2.9;7.01E-07;1.62E-05;293.21;-3.20E-06;-2.86E-07;6.78E-07;-2.41E-07;293.21
2.95;7.07E-07;1.63E-05;293.21;-3.22E-06;-2.88E-07;6.83E-07;-2.43E-07;293.21
3;7.12E-07;1.64E-05;293.21;-3.24E-06;-2.91E-07;6.89E-07;-2.46E-07;293.21
3.05;7.18E-07;1.66E-05;293.21;-3.27E-06;-2.93E-07;6.96E-07;-2.48E-07;293.21
3.1;7.24E-07;1.67E-05;293.21;-3.29E-06;-2.96E-07;7.02E-07;-2.51E-07;293.21
3.15;7.30E-07;1.68E-05;293.21;-3.32E-06;-2.98E-07;7.08E-07;-2.54E-07;293.21
3.2;7.36E-07;1.69E-05;293.21;-3.35E-06;-3.01E-07;7.15E-07;-2.56E-07;293.21
3.25;7.42E-07;1.71E-05;293.22;-3.38E-06;-3.04E-07;7.22E-07;-2.59E-07;293.22
3.3;7.49E-07;1.72E-05;293.22;-3.41E-06;-3.06E-07;7.30E-07;-2.62E-07;293.22
3.35;7.56E-07;1.74E-05;293.22;-3.44E-06;-3.10E-07;7.37E-07;-2.65E-07;293.22
3.4;7.64E-07;1.76E-05;293.22;-3.47E-06;-3.13E-07;7.45E-07;-2.68E-07;293.22
3.45;7.72E-07;1.77E-05;293.22;-3.51E-06;-3.16E-07;7.54E-07;-2.72E-07;293.22
