Time;Volt_n1_V_out;Volt_p1_V_out;Temp_PVDF_1;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out;Temp_PVDF_2
0;2.66E-20;-1.85E-17;293.15;1.02E-17;4.56E-18;-1.32E-17;-1.80E-17;293.15
0.05;-1.03E-07;1.64E-08;293.15;6.65E-09;1.84E-08;2.17E-08;1.86E-08;293.15
0.1;-2.69E-07;4.24E-08;293.15;1.69E-08;4.72E-08;5.58E-08;4.77E-08;293.15
0.15;-3.95E-07;6.27E-08;293.15;2.51E-08;7.00E-08;8.25E-08;7.07E-08;293.15
0.2;-4.86E-07;7.71E-08;293.16;3.09E-08;8.60E-08;1.01E-07;8.69E-08;293.16
0.25;-5.93E-07;9.42E-08;293.16;3.78E-08;1.05E-07;1.24E-07;1.06E-07;293.16
0.3;-7.15E-07;1.14E-07;293.16;4.56E-08;1.27E-07;1.49E-07;1.28E-07;293.16
0.35;-8.38E-07;1.33E-07;293.16;5.35E-08;1.48E-07;1.75E-07;1.50E-07;293.16
0.4;-9.57E-07;1.52E-07;293.16;6.11E-08;1.70E-07;2.00E-07;1.71E-07;293.16
0.45;-1.07E-06;1.71E-07;293.16;6.87E-08;1.90E-07;2.24E-07;1.92E-07;293.16
0.5;-1.19E-06;1.89E-07;293.16;7.62E-08;2.11E-07;2.49E-07;2.13E-07;293.16
0.55;-1.31E-06;2.08E-07;293.16;8.37E-08;2.32E-07;2.73E-07;2.34E-07;293.16
0.6;-1.43E-06;2.27E-07;293.17;9.12E-08;2.52E-07;2.98E-07;2.55E-07;293.17
0.65;-1.54E-06;2.45E-07;293.17;9.87E-08;2.73E-07;3.22E-07;2.76E-07;293.17
0.7;-1.66E-06;2.64E-07;293.17;1.06E-07;2.93E-07;3.46E-07;2.96E-07;293.17
0.75;-1.77E-06;2.82E-07;293.17;1.14E-07;3.14E-07;3.70E-07;3.17E-07;293.17
0.8;-1.89E-06;3.01E-07;293.17;1.21E-07;3.34E-07;3.94E-07;3.38E-07;293.17
0.85;-2.00E-06;3.19E-07;293.17;1.29E-07;3.54E-07;4.18E-07;3.58E-07;293.17
0.9;-2.12E-06;3.37E-07;293.17;1.36E-07;3.75E-07;4.42E-07;3.78E-07;293.17
0.95;-2.23E-06;3.55E-07;293.17;1.43E-07;3.95E-07;4.66E-07;3.99E-07;293.17
1;-2.34E-06;3.73E-07;293.18;1.51E-07;4.15E-07;4.89E-07;4.19E-07;293.18
1.05;-2.45E-06;3.91E-07;293.18;1.58E-07;4.34E-07;5.13E-07;4.39E-07;293.18
1.1;-2.57E-06;4.09E-07;293.18;1.65E-07;4.54E-07;5.36E-07;4.59E-07;293.18
1.15;-2.68E-06;4.27E-07;293.18;1.72E-07;4.74E-07;5.59E-07;4.79E-07;293.18
1.2;-2.79E-06;4.45E-07;293.18;1.80E-07;4.93E-07;5.83E-07;4.98E-07;293.18
1.25;-2.90E-06;4.63E-07;293.18;1.87E-07;5.13E-07;6.06E-07;5.18E-07;293.18
1.3;-3.01E-06;4.81E-07;293.18;1.94E-07;5.32E-07;6.29E-07;5.38E-07;293.18
1.35;-3.12E-06;4.98E-07;293.18;2.01E-07;5.52E-07;6.52E-07;5.57E-07;293.18
1.4;-3.23E-06;5.16E-07;293.19;2.08E-07;5.71E-07;6.74E-07;5.76E-07;293.19
1.45;-3.34E-06;5.33E-07;293.19;2.15E-07;5.90E-07;6.97E-07;5.96E-07;293.19
1.5;-3.44E-06;5.50E-07;293.19;2.23E-07;6.09E-07;7.19E-07;6.15E-07;293.19
1.55;-3.55E-06;5.68E-07;293.19;2.30E-07;6.28E-07;7.42E-07;6.34E-07;293.19
1.6;-3.66E-06;5.85E-07;293.19;2.37E-07;6.47E-07;7.64E-07;6.53E-07;293.19
1.65;-3.76E-06;6.02E-07;293.19;2.44E-07;6.65E-07;7.86E-07;6.72E-07;293.19
1.7;-3.87E-06;6.19E-07;293.19;2.51E-07;6.84E-07;8.08E-07;6.90E-07;293.19
1.75;-3.97E-06;6.36E-07;293.19;2.57E-07;7.02E-07;8.30E-07;7.09E-07;293.19
1.8;-4.08E-06;6.53E-07;293.2;2.64E-07;7.20E-07;8.52E-07;7.27E-07;293.2
1.85;-4.18E-06;6.69E-07;293.2;2.71E-07;7.39E-07;8.74E-07;7.46E-07;293.2
1.9;-4.28E-06;6.86E-07;293.2;2.78E-07;7.57E-07;8.95E-07;7.64E-07;293.2
1.95;-4.38E-06;7.03E-07;293.2;2.85E-07;7.75E-07;9.17E-07;7.82E-07;293.2
2;-4.48E-06;7.19E-07;293.2;2.92E-07;7.93E-07;9.38E-07;8.00E-07;293.2
2.05;-4.59E-06;7.36E-07;293.2;2.98E-07;8.10E-07;9.59E-07;8.18E-07;293.2
2.1;-4.68E-06;7.51E-07;293.2;3.05E-07;8.27E-07;9.79E-07;8.34E-07;293.2
2.15;-4.77E-06;7.65E-07;293.2;3.10E-07;8.42E-07;9.97E-07;8.50E-07;293.2
2.2;-4.85E-06;7.78E-07;293.2;3.16E-07;8.56E-07;1.01E-06;8.64E-07;293.2
2.25;-4.92E-06;7.90E-07;293.2;3.21E-07;8.69E-07;1.03E-06;8.77E-07;293.2
2.3;-4.99E-06;8.02E-07;293.21;3.26E-07;8.81E-07;1.04E-06;8.89E-07;293.21
2.35;-5.06E-06;8.13E-07;293.21;3.30E-07;8.93E-07;1.06E-06;9.00E-07;293.21
2.4;-5.12E-06;8.23E-07;293.21;3.34E-07;9.03E-07;1.07E-06;9.11E-07;293.21
2.45;-5.17E-06;8.32E-07;293.21;3.38E-07;9.13E-07;1.08E-06;9.21E-07;293.21
2.5;-5.23E-06;8.41E-07;293.21;3.42E-07;9.23E-07;1.09E-06;9.31E-07;293.21
2.55;-5.28E-06;8.50E-07;293.21;3.46E-07;9.32E-07;1.11E-06;9.40E-07;293.21
2.6;-5.33E-06;8.58E-07;293.21;3.49E-07;9.40E-07;1.12E-06;9.48E-07;293.21
2.65;-5.38E-06;8.66E-07;293.21;3.53E-07;9.49E-07;1.13E-06;9.57E-07;293.21
2.7;-5.42E-06;8.74E-07;293.21;3.56E-07;9.56E-07;1.14E-06;9.64E-07;293.21
2.75;-5.47E-06;8.81E-07;293.21;3.59E-07;9.64E-07;1.14E-06;9.72E-07;293.21
2.8;-5.51E-06;8.88E-07;293.21;3.62E-07;9.71E-07;1.15E-06;9.79E-07;293.21
2.85;-5.55E-06;8.96E-07;293.21;3.65E-07;9.79E-07;1.16E-06;9.87E-07;293.21
2.9;-5.59E-06;9.03E-07;293.21;3.68E-07;9.86E-07;1.17E-06;9.94E-07;293.21
2.95;-5.63E-06;9.10E-07;293.21;3.71E-07;9.93E-07;1.18E-06;1.00E-06;293.21
3;-5.68E-06;9.17E-07;293.21;3.74E-07;1.00E-06;1.19E-06;1.01E-06;293.21
3.05;-5.72E-06;9.24E-07;293.21;3.77E-07;1.01E-06;1.20E-06;1.02E-06;293.21
3.1;-5.76E-06;9.32E-07;293.21;3.80E-07;1.02E-06;1.21E-06;1.02E-06;293.21
3.15;-5.81E-06;9.40E-07;293.21;3.84E-07;1.02E-06;1.22E-06;1.03E-06;293.21
3.2;-5.86E-06;9.48E-07;293.21;3.87E-07;1.03E-06;1.23E-06;1.04E-06;293.21
3.25;-5.91E-06;9.56E-07;293.22;3.91E-07;1.04E-06;1.24E-06;1.05E-06;293.22
3.3;-5.96E-06;9.65E-07;293.22;3.94E-07;1.05E-06;1.25E-06;1.06E-06;293.22
3.35;-6.02E-06;9.74E-07;293.22;3.98E-07;1.06E-06;1.26E-06;1.07E-06;293.22
3.4;-6.08E-06;9.84E-07;293.22;4.02E-07;1.07E-06;1.27E-06;1.08E-06;293.22
3.45;-6.14E-06;9.95E-07;293.22;4.07E-07;1.08E-06;1.29E-06;1.09E-06;293.22
3.5;-6.21E-06;1.01E-06;293.22;4.11E-07;1.09E-06;1.30E-06;1.10E-06;293.22
3.55;-6.28E-06;1.02E-06;293.22;4.16E-07;1.10E-06;1.32E-06;1.11E-06;293.22
3.6;-6.36E-06;1.03E-06;293.22;4.22E-07;1.12E-06;1.33E-06;1.13E-06;293.22
3.65;-6.44E-06;1.04E-06;293.22;4.27E-07;1.13E-06;1.35E-06;1.14E-06;293.22
3.7;-6.53E-06;1.06E-06;293.22;4.33E-07;1.15E-06;1.37E-06;1.16E-06;293.22
3.75;-6.62E-06;1.07E-06;293.22;4.40E-07;1.16E-06;1.39E-06;1.17E-06;293.22
3.8;-6.72E-06;1.09E-06;293.22;4.46E-07;1.18E-06;1.41E-06;1.19E-06;293.22
3.85;-6.83E-06;1.11E-06;293.23;4.54E-07;1.20E-06;1.43E-06;1.21E-06;293.23
3.9;-6.94E-06;1.13E-06;293.23;4.61E-07;1.22E-06;1.46E-06;1.23E-06;293.23
3.95;-7.07E-06;1.15E-06;293.23;4.69E-07;1.24E-06;1.48E-06;1.25E-06;293.23
4;-7.20E-06;1.17E-06;293.23;4.78E-07;1.27E-06;1.51E-06;1.27E-06;293.23
4.05;-7.34E-06;1.19E-06;293.23;4.87E-07;1.29E-06;1.54E-06;1.30E-06;293.23
4.1;-7.49E-06;1.22E-06;293.23;4.97E-07;1.32E-06;1.57E-06;1.33E-06;293.23
4.15;-7.65E-06;1.24E-06;293.23;5.08E-07;1.35E-06;1.61E-06;1.35E-06;293.23
4.2;-7.82E-06;1.27E-06;293.24;5.19E-07;1.37E-06;1.64E-06;1.38E-06;293.24
4.25;-7.98E-06;1.30E-06;293.24;5.30E-07;1.40E-06;1.67E-06;1.41E-06;293.24
4.3;-8.17E-06;1.33E-06;293.24;5.42E-07;1.44E-06;1.71E-06;1.45E-06;293.24
4.35;-8.36E-06;1.36E-06;293.24;5.55E-07;1.47E-06;1.75E-06;1.48E-06;293.24
4.4;-8.57E-06;1.39E-06;293.24;5.69E-07;1.51E-06;1.80E-06;1.52E-06;293.24
4.45;-8.79E-06;1.43E-06;293.25;5.83E-07;1.55E-06;1.84E-06;1.56E-06;293.25
4.5;-9.02E-06;1.46E-06;293.25;5.98E-07;1.59E-06;1.89E-06;1.60E-06;293.25
4.55;-9.28E-06;1.50E-06;293.47;6.15E-07;1.63E-06;1.95E-06;1.64E-06;293.47
4.6;-9.79E-05;1.56E-05;294.26;6.24E-06;1.73E-05;2.05E-05;1.75E-05;294.26
4.65;-1.85E-04;2.94E-05;295.26;1.18E-05;3.28E-05;3.87E-05;3.31E-05;295.26
4.7;-2.90E-04;4.60E-05;296.42;1.84E-05;5.13E-05;6.06E-05;5.18E-05;296.42
4.75;-3.90E-04;6.18E-05;297.53;2.47E-05;6.89E-05;8.13E-05;6.96E-05;297.53
4.8;-4.76E-04;7.55E-05;298.51;3.02E-05;8.41E-05;9.93E-05;8.50E-05;298.51
4.85;-5.57E-04;8.84E-05;299.19;3.52E-05;9.84E-05;1.16E-04;9.94E-05;299.19
4.9;-5.49E-04;8.71E-05;299.28;3.47E-05;9.69E-05;1.14E-04;9.79E-05;299.28
