Time;Volt_n1_V_out;Volt_p1_V_out;Temp_PVDF_1;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out;Temp_PVDF_2
0;6.36E-18;-2.03E-17;293.15;1.25E-17;-3.10E-19;-1.45E-17;-4.67E-19;293.15
0.05;-6.10E-09;-1.56E-08;293.15;6.58E-08;-1.16E-07;-5.14E-08;2.38E-07;293.15
0.1;-1.61E-08;-4.03E-08;293.15;1.71E-07;-3.00E-07;-1.33E-07;6.16E-07;293.15
0.15;-2.38E-08;-5.95E-08;293.15;2.51E-07;-4.42E-07;-1.96E-07;9.06E-07;293.15
0.2;-2.95E-08;-7.33E-08;293.16;3.08E-07;-5.43E-07;-2.41E-07;1.11E-06;293.16
0.25;-3.61E-08;-8.95E-08;293.16;3.76E-07;-6.62E-07;-2.94E-07;1.36E-06;293.16
0.3;-4.36E-08;-1.08E-07;293.16;4.54E-07;-7.99E-07;-3.55E-07;1.64E-06;293.16
0.35;-5.13E-08;-1.26E-07;293.16;5.31E-07;-9.35E-07;-4.15E-07;1.92E-06;293.16
0.4;-5.87E-08;-1.44E-07;293.16;6.07E-07;-1.07E-06;-4.74E-07;2.19E-06;293.16
0.45;-6.61E-08;-1.62E-07;293.16;6.81E-07;-1.20E-06;-5.33E-07;2.46E-06;293.16
0.5;-7.35E-08;-1.80E-07;293.16;7.55E-07;-1.33E-06;-5.90E-07;2.73E-06;293.16
0.55;-8.09E-08;-1.98E-07;293.16;8.29E-07;-1.46E-06;-6.48E-07;2.99E-06;293.16
0.6;-8.83E-08;-2.15E-07;293.17;9.02E-07;-1.59E-06;-7.06E-07;3.26E-06;293.17
0.65;-9.57E-08;-2.33E-07;293.17;9.76E-07;-1.72E-06;-7.63E-07;3.52E-06;293.17
0.7;-1.03E-07;-2.50E-07;293.17;1.05E-06;-1.85E-06;-8.21E-07;3.79E-06;293.17
0.75;-1.11E-07;-2.68E-07;293.17;1.12E-06;-1.97E-06;-8.77E-07;4.05E-06;293.17
0.8;-1.18E-07;-2.85E-07;293.17;1.19E-06;-2.10E-06;-9.34E-07;4.31E-06;293.17
0.85;-1.25E-07;-3.02E-07;293.17;1.27E-06;-2.23E-06;-9.91E-07;4.57E-06;293.17
0.9;-1.33E-07;-3.19E-07;293.17;1.34E-06;-2.35E-06;-1.05E-06;4.83E-06;293.17
0.95;-1.40E-07;-3.36E-07;293.17;1.41E-06;-2.48E-06;-1.10E-06;5.09E-06;293.17
1;-1.47E-07;-3.53E-07;293.18;1.48E-06;-2.60E-06;-1.16E-06;5.34E-06;293.18
1.05;-1.55E-07;-3.70E-07;293.18;1.55E-06;-2.73E-06;-1.21E-06;5.60E-06;293.18
1.1;-1.62E-07;-3.87E-07;293.18;1.62E-06;-2.85E-06;-1.27E-06;5.85E-06;293.18
1.15;-1.69E-07;-4.04E-07;293.18;1.69E-06;-2.97E-06;-1.32E-06;6.10E-06;293.18
1.2;-1.77E-07;-4.21E-07;293.18;1.76E-06;-3.10E-06;-1.38E-06;6.35E-06;293.18
1.25;-1.84E-07;-4.37E-07;293.18;1.83E-06;-3.22E-06;-1.43E-06;6.60E-06;293.18
1.3;-1.91E-07;-4.54E-07;293.18;1.90E-06;-3.34E-06;-1.49E-06;6.85E-06;293.18
1.35;-1.99E-07;-4.70E-07;293.18;1.97E-06;-3.46E-06;-1.54E-06;7.10E-06;293.18
1.4;-2.06E-07;-4.86E-07;293.19;2.04E-06;-3.58E-06;-1.59E-06;7.35E-06;293.19
1.45;-2.13E-07;-5.02E-07;293.19;2.10E-06;-3.70E-06;-1.65E-06;7.59E-06;293.19
1.5;-2.20E-07;-5.19E-07;293.19;2.17E-06;-3.82E-06;-1.70E-06;7.84E-06;293.19
1.55;-2.28E-07;-5.35E-07;293.19;2.24E-06;-3.94E-06;-1.75E-06;8.08E-06;293.19
1.6;-2.35E-07;-5.50E-07;293.19;2.30E-06;-4.05E-06;-1.80E-06;8.32E-06;293.19
1.65;-2.42E-07;-5.66E-07;293.19;2.37E-06;-4.17E-06;-1.85E-06;8.56E-06;293.19
1.7;-2.49E-07;-5.82E-07;293.19;2.44E-06;-4.28E-06;-1.91E-06;8.79E-06;293.19
1.75;-2.56E-07;-5.97E-07;293.19;2.50E-06;-4.40E-06;-1.96E-06;9.03E-06;293.19
1.8;-2.63E-07;-6.13E-07;293.2;2.57E-06;-4.51E-06;-2.01E-06;9.26E-06;293.2
1.85;-2.70E-07;-6.28E-07;293.2;2.63E-06;-4.63E-06;-2.06E-06;9.50E-06;293.2
1.9;-2.77E-07;-6.44E-07;293.2;2.69E-06;-4.74E-06;-2.11E-06;9.73E-06;293.2
1.95;-2.84E-07;-6.59E-07;293.2;2.76E-06;-4.85E-06;-2.16E-06;9.96E-06;293.2
2;-2.91E-07;-6.74E-07;293.2;2.82E-06;-4.96E-06;-2.21E-06;1.02E-05;293.2
2.05;-2.98E-07;-6.89E-07;293.2;2.88E-06;-5.07E-06;-2.26E-06;1.04E-05;293.2
2.1;-3.05E-07;-7.03E-07;293.2;2.94E-06;-5.18E-06;-2.30E-06;1.06E-05;293.2
2.15;-3.11E-07;-7.15E-07;293.2;3.00E-06;-5.27E-06;-2.34E-06;1.08E-05;293.2
2.2;-3.17E-07;-7.27E-07;293.2;3.05E-06;-5.36E-06;-2.38E-06;1.10E-05;293.2
2.25;-3.22E-07;-7.38E-07;293.2;3.09E-06;-5.44E-06;-2.42E-06;1.12E-05;293.2
2.3;-3.27E-07;-7.48E-07;293.21;3.13E-06;-5.51E-06;-2.45E-06;1.13E-05;293.21
2.35;-3.32E-07;-7.58E-07;293.21;3.17E-06;-5.58E-06;-2.48E-06;1.15E-05;293.21
2.4;-3.37E-07;-7.67E-07;293.21;3.21E-06;-5.65E-06;-2.51E-06;1.16E-05;293.21
2.45;-3.41E-07;-7.75E-07;293.21;3.25E-06;-5.71E-06;-2.54E-06;1.17E-05;293.21
2.5;-3.45E-07;-7.83E-07;293.21;3.28E-06;-5.77E-06;-2.57E-06;1.18E-05;293.21
2.55;-3.49E-07;-7.90E-07;293.21;3.31E-06;-5.83E-06;-2.59E-06;1.20E-05;293.21
2.6;-3.53E-07;-7.97E-07;293.21;3.34E-06;-5.88E-06;-2.61E-06;1.21E-05;293.21
2.65;-3.57E-07;-8.04E-07;293.21;3.37E-06;-5.93E-06;-2.64E-06;1.22E-05;293.21
2.7;-3.61E-07;-8.10E-07;293.21;3.40E-06;-5.98E-06;-2.66E-06;1.23E-05;293.21
2.75;-3.64E-07;-8.16E-07;293.21;3.42E-06;-6.02E-06;-2.68E-06;1.24E-05;293.21
2.8;-3.68E-07;-8.22E-07;293.21;3.45E-06;-6.07E-06;-2.70E-06;1.25E-05;293.21
2.85;-3.71E-07;-8.28E-07;293.21;3.47E-06;-6.11E-06;-2.72E-06;1.25E-05;293.21
2.9;-3.75E-07;-8.34E-07;293.21;3.50E-06;-6.16E-06;-2.74E-06;1.26E-05;293.21
2.95;-3.78E-07;-8.40E-07;293.21;3.52E-06;-6.20E-06;-2.76E-06;1.27E-05;293.21
3;-3.81E-07;-8.46E-07;293.21;3.55E-06;-6.25E-06;-2.78E-06;1.28E-05;293.21
3.05;-3.85E-07;-8.52E-07;293.21;3.58E-06;-6.29E-06;-2.80E-06;1.29E-05;293.21
3.1;-3.89E-07;-8.58E-07;293.21;3.60E-06;-6.34E-06;-2.82E-06;1.30E-05;293.21
3.15;-3.92E-07;-8.64E-07;293.21;3.63E-06;-6.39E-06;-2.84E-06;1.31E-05;293.21
3.2;-3.96E-07;-8.71E-07;293.21;3.66E-06;-6.44E-06;-2.86E-06;1.32E-05;293.21
3.25;-4.00E-07;-8.78E-07;293.22;3.69E-06;-6.49E-06;-2.88E-06;1.33E-05;293.22
3.3;-4.04E-07;-8.86E-07;293.22;3.72E-06;-6.55E-06;-2.91E-06;1.34E-05;293.22
3.35;-4.08E-07;-8.93E-07;293.22;3.76E-06;-6.61E-06;-2.93E-06;1.36E-05;293.22
3.4;-4.13E-07;-9.02E-07;293.22;3.79E-06;-6.67E-06;-2.96E-06;1.37E-05;293.22
3.45;-4.18E-07;-9.11E-07;293.22;3.83E-06;-6.74E-06;-2.99E-06;1.38E-05;293.22
3.5;-4.23E-07;-9.20E-07;293.22;3.87E-06;-6.81E-06;-3.03E-06;1.40E-05;293.22
3.55;-4.28E-07;-9.31E-07;293.22;3.92E-06;-6.89E-06;-3.06E-06;1.41E-05;293.22
3.6;-4.34E-07;-9.42E-07;293.22;3.96E-06;-6.98E-06;-3.10E-06;1.43E-05;293.22
3.65;-4.40E-07;-9.54E-07;293.22;4.01E-06;-7.07E-06;-3.14E-06;1.45E-05;293.22
3.7;-4.46E-07;-9.66E-07;293.22;4.07E-06;-7.16E-06;-3.18E-06;1.47E-05;293.22
3.75;-4.53E-07;-9.80E-07;293.22;4.13E-06;-7.26E-06;-3.22E-06;1.49E-05;293.22
3.8;-4.60E-07;-9.95E-07;293.22;4.19E-06;-7.37E-06;-3.27E-06;1.51E-05;293.22
3.85;-4.67E-07;-1.01E-06;293.23;4.25E-06;-7.49E-06;-3.32E-06;1.54E-05;293.23
3.9;-4.75E-07;-1.03E-06;293.23;4.33E-06;-7.62E-06;-3.38E-06;1.56E-05;293.23
3.95;-4.84E-07;-1.05E-06;293.23;4.40E-06;-7.75E-06;-3.44E-06;1.59E-05;293.23
4;-4.93E-07;-1.06E-06;293.23;4.48E-06;-7.89E-06;-3.50E-06;1.62E-05;293.23
4.05;-5.02E-07;-1.08E-06;293.23;4.57E-06;-8.04E-06;-3.57E-06;1.65E-05;293.23
4.1;-5.13E-07;-1.11E-06;293.23;4.66E-06;-8.21E-06;-3.64E-06;1.69E-05;293.23
4.15;-5.24E-07;-1.13E-06;293.23;4.77E-06;-8.39E-06;-3.72E-06;1.72E-05;293.23
4.2;-5.35E-07;-1.16E-06;293.24;4.87E-06;-8.57E-06;-3.80E-06;1.76E-05;293.24
4.25;-5.46E-07;-1.18E-06;293.24;4.97E-06;-8.75E-06;-3.88E-06;1.80E-05;293.24
4.3;-5.59E-07;-1.21E-06;293.24;5.09E-06;-8.96E-06;-3.97E-06;1.84E-05;293.24
4.35;-5.72E-07;-1.24E-06;293.24;5.21E-06;-9.17E-06;-4.07E-06;1.88E-05;293.24
4.4;-5.86E-07;-1.27E-06;293.24;5.34E-06;-9.40E-06;-4.17E-06;1.93E-05;293.24
4.45;-6.01E-07;-1.30E-06;293.25;5.48E-06;-9.64E-06;-4.28E-06;1.98E-05;293.25
4.5;-6.17E-07;-1.33E-06;293.25;5.62E-06;-9.90E-06;-4.39E-06;2.03E-05;293.25
4.55;-6.33E-07;-1.37E-06;293.47;5.78E-06;-1.02E-05;-4.51E-06;2.09E-05;293.47
4.6;-5.82E-06;-1.44E-05;294.25;6.08E-05;-1.07E-04;-4.75E-05;2.20E-04;294.25
4.65;-1.13E-05;-2.80E-05;295.27;1.18E-04;-2.08E-04;-9.23E-05;4.27E-04;295.27
4.7;-1.76E-05;-4.37E-05;296.42;1.84E-04;-3.24E-04;-1.44E-04;6.65E-04;296.42
4.75;-2.40E-05;-5.93E-05;297.54;2.50E-04;-4.40E-04;-1.95E-04;9.02E-04;297.54
4.8;-2.92E-05;-7.19E-05;298.5;3.02E-04;-5.33E-04;-2.36E-04;0.0010937;298.5
4.85;-3.29E-05;-8.06E-05;299.1;3.39E-04;-5.98E-04;-2.65E-04;0.0012253;299.1
4.9;-3.65E-05;-8.91E-05;299.38;3.74E-04;-6.60E-04;-2.93E-04;0.0013535;299.38
4.95;-3.23E-05;-7.82E-05;298.95;3.28E-04;-5.78E-04;-2.56E-04;0.0011853;298.95
5;-2.92E-05;-7.03E-05;298.37;2.94E-04;-5.18E-04;-2.30E-04;0.0010635;298.37
5.05;-2.60E-05;-6.19E-05;297.79;2.58E-04;-4.55E-04;-2.02E-04;9.34E-04;297.79
5.1;-2.32E-05;-5.47E-05;297.29;2.28E-04;-4.02E-04;-1.79E-04;8.25E-04;297.29
5.15;-2.19E-05;-5.13E-05;296.95;2.14E-04;-3.77E-04;-1.68E-04;7.73E-04;296.95
5.2;-2.01E-05;-4.68E-05;296.61;1.95E-04;-3.43E-04;-1.53E-04;7.05E-04;296.61
5.25;-1.85E-05;-4.27E-05;296.31;1.78E-04;-3.13E-04;-1.39E-04;6.42E-04;296.31
5.3;-1.69E-05;-3.86E-05;296.03;1.61E-04;-2.83E-04;-1.26E-04;5.80E-04;296.03
5.35;-1.58E-05;-3.56E-05;295.78;1.48E-04;-2.61E-04;-1.16E-04;5.35E-04;295.78
5.4;-1.46E-05;-3.25E-05;295.55;1.35E-04;-2.38E-04;-1.06E-04;4.88E-04;295.55
5.45;-1.33E-05;-2.94E-05;295.33;1.22E-04;-2.15E-04;-9.56E-05;4.41E-04;295.33
5.5;-1.24E-05;-2.71E-05;295.14;1.12E-04;-1.98E-04;-8.81E-05;4.06E-04;295.14
5.55;-1.15E-05;-2.47E-05;294.97;1.03E-04;-1.80E-04;-8.04E-05;3.71E-04;294.97
5.6;-1.06E-05;-2.23E-05;294.81;9.27E-05;-1.63E-04;-7.26E-05;3.35E-04;294.81
5.65;-9.86E-06;-2.05E-05;294.66;8.53E-05;-1.50E-04;-6.68E-05;3.08E-04;294.66
5.7;-9.15E-06;-1.87E-05;294.53;7.79E-05;-1.37E-04;-6.09E-05;2.81E-04;294.53
5.75;-8.44E-06;-1.69E-05;294.41;7.04E-05;-1.24E-04;-5.51E-05;2.54E-04;294.41
5.8;-7.90E-06;-1.55E-05;294.3;6.47E-05;-1.14E-04;-5.06E-05;2.34E-04;294.3
5.85;-7.35E-06;-1.41E-05;294.2;5.90E-05;-1.04E-04;-4.62E-05;2.13E-04;294.2
5.9;-6.80E-06;-1.28E-05;294.1;5.33E-05;-9.38E-05;-4.17E-05;1.93E-04;294.1
5.95;-6.39E-06;-1.17E-05;294.02;4.91E-05;-8.64E-05;-3.84E-05;1.78E-04;294.02
6;-5.97E-06;-1.07E-05;293.94;4.47E-05;-7.88E-05;-3.49E-05;1.62E-04;293.94
6.05;-5.54E-06;-9.60E-06;293.87;4.04E-05;-7.11E-05;-3.15E-05;1.46E-04;293.87
6.1;-5.23E-06;-8.82E-06;293.81;3.72E-05;-6.55E-05;-2.90E-05;1.35E-04;293.81
6.15;-4.91E-06;-8.02E-06;293.75;3.39E-05;-5.98E-05;-2.64E-05;1.23E-04;293.75
6.2;-4.58E-06;-7.21E-06;293.7;3.06E-05;-5.40E-05;-2.38E-05;1.11E-04;293.7
6.25;-4.34E-06;-6.60E-06;293.65;2.81E-05;-4.97E-05;-2.19E-05;1.02E-04;293.65
6.3;-4.09E-06;-5.99E-06;293.61;2.57E-05;-4.53E-05;-1.99E-05;9.32E-05;293.61
6.35;-3.84E-06;-5.38E-06;293.57;2.32E-05;-4.10E-05;-1.80E-05;8.42E-05;293.57
6.4;-3.65E-06;-4.91E-06;293.53;2.13E-05;-3.77E-05;-1.65E-05;7.74E-05;293.53
6.45;-3.46E-06;-4.44E-06;293.5;1.94E-05;-3.44E-05;-1.50E-05;7.06E-05;293.5
6.5;-3.26E-06;-3.98E-06;293.47;1.75E-05;-3.11E-05;-1.35E-05;6.38E-05;293.47
6.55;-3.12E-06;-3.62E-06;293.44;1.61E-05;-2.86E-05;-1.24E-05;5.87E-05;293.44
6.6;-2.97E-06;-3.26E-06;293.41;1.46E-05;-2.60E-05;-1.12E-05;5.35E-05;293.41
6.65;-2.82E-06;-2.90E-06;293.39;1.32E-05;-2.35E-05;-1.01E-05;4.83E-05;293.39
6.7;-2.70E-06;-2.64E-06;293.37;1.21E-05;-2.16E-05;-9.23E-06;4.45E-05;293.37
6.75;-2.59E-06;-2.36E-06;293.35;1.10E-05;-1.97E-05;-8.35E-06;4.05E-05;293.35
6.8;-2.47E-06;-2.09E-06;293.33;9.88E-06;-1.78E-05;-7.48E-06;3.66E-05;293.33
6.85;-2.38E-06;-1.88E-06;293.32;9.06E-06;-1.64E-05;-6.84E-06;3.37E-05;293.32
6.9;-2.29E-06;-1.67E-06;293.3;8.22E-06;-1.49E-05;-6.17E-06;3.07E-05;293.3
6.95;-2.20E-06;-1.46E-06;293.29;7.38E-06;-1.34E-05;-5.51E-06;2.77E-05;293.29
7;-2.13E-06;-1.31E-06;293.28;6.75E-06;-1.23E-05;-5.01E-06;2.54E-05;293.28
7.05;-2.06E-06;-1.15E-06;293.27;6.12E-06;-1.12E-05;-4.50E-06;2.31E-05;293.27
7.1;-1.99E-06;-9.90E-07;293.25;5.48E-06;-1.01E-05;-4.00E-06;2.09E-05;293.25
7.15;-1.94E-06;-8.68E-07;293.25;4.99E-06;-9.27E-06;-3.61E-06;1.92E-05;293.25
7.2;-1.88E-06;-7.46E-07;293.24;4.50E-06;-8.41E-06;-3.22E-06;1.74E-05;293.24
7.25;-1.83E-06;-6.24E-07;293.23;4.01E-06;-7.56E-06;-2.83E-06;1.57E-05;293.23
7.3;-1.79E-06;-5.33E-07;293.22;3.64E-06;-6.92E-06;-2.54E-06;1.44E-05;293.22
7.35;-1.75E-06;-4.39E-07;293.22;3.26E-06;-6.26E-06;-2.23E-06;1.30E-05;293.22
7.4;-1.70E-06;-3.45E-07;293.21;2.88E-06;-5.60E-06;-1.93E-06;1.17E-05;293.21
7.45;-1.67E-06;-2.76E-07;293.2;2.60E-06;-5.10E-06;-1.70E-06;1.07E-05;293.2
7.5;-1.64E-06;-2.04E-07;293.2;2.31E-06;-4.59E-06;-1.47E-06;9.69E-06;293.2
7.55;-1.60E-06;-1.32E-07;293.2;2.02E-06;-4.08E-06;-1.23E-06;8.67E-06;293.2
7.6;-1.58E-06;-7.86E-08;293.19;1.79E-06;-3.69E-06;-1.05E-06;7.90E-06;293.19
7.65;-1.55E-06;-2.41E-08;293.19;1.57E-06;-3.29E-06;-8.68E-07;7.12E-06;293.19
7.7;-1.53E-06;3.04E-08;293.18;1.34E-06;-2.89E-06;-6.85E-07;6.33E-06;293.18
7.75;-1.51E-06;7.22E-08;293.18;1.16E-06;-2.57E-06;-5.38E-07;5.72E-06;293.18
7.8;-1.49E-06;1.14E-07;293.18;9.82E-07;-2.26E-06;-3.92E-07;5.11E-06;293.18
7.85;-1.47E-06;1.56E-07;293.18;8.03E-07;-1.94E-06;-2.45E-07;4.50E-06;293.18
7.9;-1.46E-06;1.88E-07;293.17;6.61E-07;-1.68E-06;-1.27E-07;4.02E-06;293.17
7.95;-1.44E-06;2.20E-07;293.17;5.17E-07;-1.42E-06;-7.08E-09;3.54E-06;293.17
8;-1.43E-06;2.52E-07;293.17;3.73E-07;-1.17E-06;1.13E-07;3.06E-06;293.17
8.05;-1.42E-06;2.76E-07;293.17;2.60E-07;-9.56E-07;2.09E-07;2.68E-06;293.17
8.1;-1.41E-06;3.01E-07;293.17;1.42E-07;-7.41E-07;3.08E-07;2.29E-06;293.17
8.15;-1.40E-06;3.26E-07;293.16;2.51E-08;-5.25E-07;4.07E-07;1.91E-06;293.16
8.2;-1.39E-06;3.44E-07;293.16;-6.98E-08;-3.46E-07;4.89E-07;1.60E-06;293.16
8.25;-1.39E-06;3.63E-07;293.16;-1.67E-07;-1.63E-07;5.73E-07;1.29E-06;293.16
8.3;-1.38E-06;3.82E-07;293.16;-2.64E-07;2.05E-08;6.57E-07;9.74E-07;293.16
8.35;-1.38E-06;3.96E-07;293.16;-3.46E-07;1.80E-07;7.29E-07;7.16E-07;293.16
8.4;-1.37E-06;4.11E-07;293.16;-4.28E-07;3.41E-07;8.02E-07;4.56E-07;293.16
8.45;-1.37E-06;4.25E-07;293.16;-5.10E-07;5.01E-07;8.74E-07;1.96E-07;293.16
8.5;-1.37E-06;4.36E-07;293.16;-5.81E-07;6.46E-07;9.39E-07;-2.56E-08;293.16
8.55;-1.37E-06;4.47E-07;293.16;-6.53E-07;7.91E-07;1.00E-06;-2.48E-07;293.16
8.6;-1.36E-06;4.58E-07;293.16;-7.24E-07;9.37E-07;1.07E-06;-4.71E-07;293.16
8.65;-1.37E-06;4.66E-07;293.16;-7.87E-07;1.07E-06;1.13E-06;-6.62E-07;293.16
8.7;-1.37E-06;4.75E-07;293.16;-8.51E-07;1.20E-06;1.19E-06;-8.58E-07;293.16
8.75;-1.37E-06;4.83E-07;293.15;-9.14E-07;1.34E-06;1.25E-06;-1.05E-06;293.15
8.8;-1.37E-06;4.89E-07;293.15;-9.71E-07;1.47E-06;1.30E-06;-1.22E-06;293.15
