Time;Volt_n1_V_out;Volt_p1_V_out;Temp_PVDF_1;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out;Temp_PVDF_2;;;;
0;1.64E-18;2.13E-18;293.15;9.51E-18;3.90E-18;-1.36E-17;-1.76E-17;293.15;;;;
0.05;-7.00E-08;2.97E-07;293.15;1.14E-08;-1.08E-08;-2.18E-08;-1.13E-08;293.15;;;;
0.1;-1.82E-07;7.70E-07;293.15;2.97E-08;-2.84E-08;-5.68E-08;-2.96E-08;293.15;;;;
0.15;-2.67E-07;1.13E-06;293.15;4.37E-08;-4.18E-08;-8.35E-08;-4.37E-08;293.15;;;;
0.2;-3.29E-07;1.39E-06;293.16;5.38E-08;-5.15E-08;-1.03E-07;-5.38E-08;293.16;;;;
0.25;-4.01E-07;1.70E-06;293.16;6.58E-08;-6.29E-08;-1.26E-07;-6.57E-08;293.16;;;;
0.3;-4.84E-07;2.05E-06;293.16;7.93E-08;-7.59E-08;-1.51E-07;-7.93E-08;293.16;;;;
0.35;-5.67E-07;2.40E-06;293.16;9.30E-08;-8.90E-08;-1.77E-07;-9.29E-08;293.16;;;;
0.4;-6.47E-07;2.74E-06;293.16;1.06E-07;-1.02E-07;-2.03E-07;-1.06E-07;293.16;;;;
0.45;-7.27E-07;3.07E-06;293.16;1.19E-07;-1.14E-07;-2.28E-07;-1.19E-07;293.16;;;;
0.5;-8.06E-07;3.40E-06;293.16;1.32E-07;-1.27E-07;-2.53E-07;-1.33E-07;293.16;;;;
0.55;-8.85E-07;3.74E-06;293.16;1.45E-07;-1.40E-07;-2.77E-07;-1.46E-07;293.16;;;;
0.6;-9.64E-07;4.07E-06;293.17;1.58E-07;-1.52E-07;-3.02E-07;-1.59E-07;293.17;;;;
0.65;-1.04E-06;4.40E-06;293.17;1.71E-07;-1.65E-07;-3.27E-07;-1.72E-07;293.17;;;;
0.7;-1.12E-06;4.73E-06;293.17;1.84E-07;-1.77E-07;-3.52E-07;-1.85E-07;293.17;;;;
0.75;-1.20E-06;5.06E-06;293.17;1.97E-07;-1.90E-07;-3.76E-07;-1.98E-07;293.17;;;;
0.8;-1.28E-06;5.38E-06;293.17;2.10E-07;-2.02E-07;-4.00E-07;-2.11E-07;293.17;;;;
0.85;-1.35E-06;5.71E-06;293.17;2.23E-07;-2.14E-07;-4.25E-07;-2.24E-07;293.17;;;;
0.9;-1.43E-06;6.03E-06;293.17;2.36E-07;-2.27E-07;-4.49E-07;-2.36E-07;293.17;;;;
0.95;-1.51E-06;6.35E-06;293.17;2.48E-07;-2.39E-07;-4.73E-07;-2.49E-07;293.17;;;;
1;-1.58E-06;6.67E-06;293.18;2.61E-07;-2.51E-07;-4.97E-07;-2.62E-07;293.18;;;;
1.05;-1.66E-06;6.99E-06;293.18;2.74E-07;-2.64E-07;-5.21E-07;-2.75E-07;293.18;;;;
1.1;-1.73E-06;7.30E-06;293.18;2.86E-07;-2.76E-07;-5.45E-07;-2.87E-07;293.18;;;;
1.15;-1.81E-06;7.62E-06;293.18;2.99E-07;-2.88E-07;-5.68E-07;-3.00E-07;293.18;;;;
1.2;-1.88E-06;7.93E-06;293.18;3.11E-07;-3.00E-07;-5.92E-07;-3.12E-07;293.18;;;;
1.25;-1.96E-06;8.24E-06;293.18;3.24E-07;-3.12E-07;-6.15E-07;-3.25E-07;293.18;;;;
1.3;-2.03E-06;8.55E-06;293.18;3.36E-07;-3.24E-07;-6.38E-07;-3.37E-07;293.18;;;;
1.35;-2.11E-06;8.86E-06;293.18;3.48E-07;-3.36E-07;-6.62E-07;-3.50E-07;293.18;;;;
1.4;-2.18E-06;9.17E-06;293.19;3.61E-07;-3.48E-07;-6.85E-07;-3.62E-07;293.19;;;;
1.45;-2.25E-06;9.47E-06;293.19;3.73E-07;-3.60E-07;-7.07E-07;-3.74E-07;293.19;;;;
1.5;-2.33E-06;9.78E-06;293.19;3.85E-07;-3.71E-07;-7.30E-07;-3.86E-07;293.19;;;;
1.55;-2.40E-06;1.01E-05;293.19;3.97E-07;-3.83E-07;-7.53E-07;-3.98E-07;293.19;;;;
1.6;-2.47E-06;1.04E-05;293.19;4.09E-07;-3.95E-07;-7.75E-07;-4.11E-07;293.19;;;;
1.65;-2.54E-06;1.07E-05;293.19;4.21E-07;-4.07E-07;-7.97E-07;-4.23E-07;293.19;;;;
1.7;-2.61E-06;1.10E-05;293.19;4.33E-07;-4.18E-07;-8.20E-07;-4.34E-07;293.19;;;;
1.75;-2.68E-06;1.13E-05;293.19;4.45E-07;-4.30E-07;-8.42E-07;-4.46E-07;293.19;;;;
1.8;-2.75E-06;1.16E-05;293.2;4.57E-07;-4.41E-07;-8.64E-07;-4.58E-07;293.2;;;;
1.85;-2.82E-06;1.18E-05;293.2;4.68E-07;-4.52E-07;-8.85E-07;-4.70E-07;293.2;;;;
1.9;-2.89E-06;1.21E-05;293.2;4.80E-07;-4.64E-07;-9.07E-07;-4.82E-07;293.2;;;;
1.95;-2.96E-06;1.24E-05;293.2;4.92E-07;-4.75E-07;-9.28E-07;-4.93E-07;293.2;;;;
2;-3.03E-06;1.27E-05;293.2;5.03E-07;-4.86E-07;-9.50E-07;-5.05E-07;293.2;;;;
2.05;-3.10E-06;1.30E-05;293.2;5.15E-07;-4.97E-07;-9.71E-07;-5.16E-07;293.2;;;;
2.1;-3.16E-06;1.33E-05;293.2;5.25E-07;-5.08E-07;-9.91E-07;-5.27E-07;293.2;;;;
2.15;-3.22E-06;1.35E-05;293.2;5.35E-07;-5.18E-07;-1.01E-06;-5.37E-07;293.2;;;;
2.2;-3.27E-06;1.37E-05;293.2;5.44E-07;-5.26E-07;-1.03E-06;-5.46E-07;293.2;;;;
2.25;-3.32E-06;1.39E-05;293.2;5.53E-07;-5.35E-07;-1.04E-06;-5.54E-07;293.2;;;;
2.3;-3.37E-06;1.41E-05;293.21;5.61E-07;-5.43E-07;-1.06E-06;-5.62E-07;293.21;;;;
2.35;-3.41E-06;1.43E-05;293.21;5.69E-07;-5.50E-07;-1.07E-06;-5.70E-07;293.21;;;;
2.4;-3.45E-06;1.45E-05;293.21;5.76E-07;-5.57E-07;-1.08E-06;-5.77E-07;293.21;;;;
2.45;-3.49E-06;1.46E-05;293.21;5.82E-07;-5.64E-07;-1.09E-06;-5.84E-07;293.21;;;;
2.5;-3.53E-06;1.48E-05;293.21;5.89E-07;-5.70E-07;-1.10E-06;-5.90E-07;293.21;;;;
2.55;-3.56E-06;1.49E-05;293.21;5.95E-07;-5.76E-07;-1.12E-06;-5.96E-07;293.21;;;;
2.6;-3.60E-06;1.50E-05;293.21;6.01E-07;-5.82E-07;-1.13E-06;-6.02E-07;293.21;;;;
2.65;-3.63E-06;1.52E-05;293.21;6.06E-07;-5.87E-07;-1.14E-06;-6.07E-07;293.21;;;;
2.7;-3.66E-06;1.53E-05;293.21;6.12E-07;-5.93E-07;-1.14E-06;-6.13E-07;293.21;;;;
2.75;-3.69E-06;1.54E-05;293.21;6.17E-07;-5.98E-07;-1.15E-06;-6.18E-07;293.21;;;;
2.8;-3.72E-06;1.55E-05;293.21;6.22E-07;-6.03E-07;-1.16E-06;-6.23E-07;293.21;;;;
2.85;-3.75E-06;1.56E-05;293.21;6.27E-07;-6.08E-07;-1.17E-06;-6.28E-07;293.21;;;;
2.9;-3.77E-06;1.58E-05;293.21;6.32E-07;-6.13E-07;-1.18E-06;-6.33E-07;293.21;;;;
2.95;-3.80E-06;1.59E-05;293.21;6.37E-07;-6.18E-07;-1.19E-06;-6.37E-07;293.21;;;;
3;-3.83E-06;1.60E-05;293.21;6.42E-07;-6.23E-07;-1.20E-06;-6.42E-07;293.21;;;;
