Time;Volt_n1_V_out;Volt_p1_V_out;Temp_PVDF_1;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out;Temp_PVDF_2
0;-9.97E-19;-1.96E-17;293.15;-1.11E-18;1.25E-17;-7.29E-18;-8.04E-18;293.15
0.05;-1.75E-07;1.33E-08;293.15;-1.54E-07;1.14E-07;4.32E-08;1.10E-07;293.15
0.1;-3.26E-07;2.46E-08;293.15;-2.86E-07;2.12E-07;8.03E-08;2.05E-07;293.15
0.15;-4.73E-07;3.58E-08;293.15;-4.15E-07;3.08E-07;1.17E-07;2.98E-07;293.15
0.2;-6.27E-07;4.75E-08;293.16;-5.50E-07;4.08E-07;1.55E-07;3.95E-07;293.16
0.25;-7.84E-07;5.94E-08;293.16;-6.87E-07;5.10E-07;1.93E-07;4.93E-07;293.16
0.3;-9.42E-07;7.14E-08;293.16;-8.25E-07;6.12E-07;2.32E-07;5.92E-07;293.16
0.35;-1.10E-06;8.32E-08;293.16;-9.61E-07;7.13E-07;2.70E-07;6.90E-07;293.16
0.4;-1.25E-06;9.49E-08;293.16;-1.10E-06;8.13E-07;3.08E-07;7.87E-07;293.16
0.45;-1.40E-06;1.07E-07;293.16;-1.23E-06;9.13E-07;3.46E-07;8.83E-07;293.16
0.5;-1.56E-06;1.18E-07;293.16;-1.36E-06;1.01E-06;3.84E-07;9.79E-07;293.16
0.55;-1.71E-06;1.30E-07;293.16;-1.50E-06;1.11E-06;4.21E-07;1.08E-06;293.16
0.6;-1.86E-06;1.41E-07;293.17;-1.63E-06;1.21E-06;4.59E-07;1.17E-06;293.17
0.65;-2.01E-06;1.53E-07;293.17;-1.76E-06;1.31E-06;4.96E-07;1.27E-06;293.17
0.7;-2.16E-06;1.64E-07;293.17;-1.90E-06;1.41E-06;5.33E-07;1.36E-06;293.17
0.75;-2.31E-06;1.76E-07;293.17;-2.03E-06;1.50E-06;5.70E-07;1.46E-06;293.17
0.8;-2.46E-06;1.87E-07;293.17;-2.16E-06;1.60E-06;6.07E-07;1.55E-06;293.17
0.85;-2.61E-06;1.99E-07;293.17;-2.29E-06;1.70E-06;6.43E-07;1.64E-06;293.17
0.9;-2.76E-06;2.10E-07;293.17;-2.42E-06;1.79E-06;6.80E-07;1.74E-06;293.17
