Time;Temp_PVDF_1;Temp_PVDF_2;Volt_n1_V_out;Volt_p1_V_out;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out
21.6;293.15;293.15;-2.31E-06;-1.13E-05;-3.42E-06;-4.35E-06;-1.74E-06;-4.37E-06
21.65;293.15;293.15;-2.28E-06;-1.11E-05;-3.38E-06;-4.30E-06;-1.73E-06;-4.31E-06
21.7;293.15;293.15;-2.25E-06;-1.09E-05;-3.34E-06;-4.24E-06;-1.72E-06;-4.26E-06
21.75;293.15;293.15;-2.22E-06;-1.07E-05;-3.30E-06;-4.19E-06;-1.71E-06;-4.20E-06
21.8;293.15;293.15;-2.19E-06;-1.05E-05;-3.26E-06;-4.13E-06;-1.70E-06;-4.14E-06
21.85;293.15;293.15;-2.16E-06;-1.03E-05;-3.22E-06;-4.08E-06;-1.69E-06;-4.09E-06
21.9;293.15;293.15;-2.13E-06;-1.02E-05;-3.18E-06;-4.02E-06;-1.68E-06;-4.03E-06
21.95;293.15;293.15;-2.10E-06;-9.99E-06;-3.14E-06;-3.97E-06;-1.67E-06;-3.98E-06
22;293.15;293.15;-2.07E-06;-9.82E-06;-3.10E-06;-3.92E-06;-1.66E-06;-3.92E-06
22.05;293.15;293.15;-2.05E-06;-9.64E-06;-3.06E-06;-3.86E-06;-1.65E-06;-3.86E-06
22.1;293.15;293.15;-2.02E-06;-9.47E-06;-3.02E-06;-3.81E-06;-1.64E-06;-3.81E-06
22.15;293.15;293.15;-1.99E-06;-9.29E-06;-2.99E-06;-3.76E-06;-1.63E-06;-3.75E-06
22.2;293.15;293.15;-1.96E-06;-9.12E-06;-2.95E-06;-3.70E-06;-1.62E-06;-3.70E-06
22.25;293.15;293.15;-1.93E-06;-8.95E-06;-2.91E-06;-3.65E-06;-1.61E-06;-3.64E-06
22.3;293.15;293.15;-1.90E-06;-8.79E-06;-2.87E-06;-3.60E-06;-1.60E-06;-3.59E-06
22.35;293.15;293.15;-1.87E-06;-8.62E-06;-2.84E-06;-3.55E-06;-1.59E-06;-3.54E-06
22.4;293.15;293.15;-1.84E-06;-8.45E-06;-2.80E-06;-3.49E-06;-1.58E-06;-3.48E-06
22.45;293.15;293.15;-1.82E-06;-8.29E-06;-2.76E-06;-3.44E-06;-1.57E-06;-3.43E-06
22.5;293.15;293.15;-1.79E-06;-8.13E-06;-2.73E-06;-3.39E-06;-1.56E-06;-3.38E-06
22.55;293.15;293.15;-1.76E-06;-7.96E-06;-2.69E-06;-3.34E-06;-1.55E-06;-3.32E-06
22.6;293.15;293.15;-1.73E-06;-7.80E-06;-2.65E-06;-3.29E-06;-1.54E-06;-3.27E-06
22.65;293.15;293.15;-1.70E-06;-7.64E-06;-2.62E-06;-3.24E-06;-1.53E-06;-3.22E-06
22.7;293.15;293.15;-1.68E-06;-7.49E-06;-2.58E-06;-3.19E-06;-1.52E-06;-3.17E-06
22.75;293.15;293.15;-1.65E-06;-7.33E-06;-2.55E-06;-3.14E-06;-1.51E-06;-3.12E-06
22.8;293.15;293.15;-1.62E-06;-7.18E-06;-2.51E-06;-3.09E-06;-1.50E-06;-3.06E-06
22.85;293.15;293.15;-1.60E-06;-7.02E-06;-2.48E-06;-3.04E-06;-1.49E-06;-3.01E-06
22.9;293.15;293.15;-1.57E-06;-6.87E-06;-2.44E-06;-2.99E-06;-1.48E-06;-2.96E-06
22.95;293.15;293.15;-1.54E-06;-6.72E-06;-2.41E-06;-2.95E-06;-1.47E-06;-2.91E-06
23;293.15;293.15;-1.52E-06;-6.58E-06;-2.37E-06;-2.90E-06;-1.46E-06;-2.86E-06
