Time;Volt_n1_V_out;Volt_p1_V_out;Temp_PVDF_1;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out;Temp_PVDF_2
0;1.60E-18;-8.71E-18;293.15;5.93E-18;1.67E-18;-2.99E-19;-5.16E-18;293.15
0.008;1.54E-15;2.85E-15;293.15;-8.92E-16;-2.05E-17;2.17E-15;2.88E-15;293.15
0.016;-5.24E-08;6.41E-09;293.15;-4.88E-09;1.21E-08;1.83E-08;1.25E-08;293.15
0.032;-1.47E-07;1.81E-08;293.15;-1.37E-08;3.39E-08;5.11E-08;3.50E-08;293.15
0.064;-2.89E-07;3.55E-08;293.15;-2.70E-08;6.69E-08;1.01E-07;6.89E-08;293.15
0.12;-4.92E-07;6.06E-08;293.15;-4.62E-08;1.14E-07;1.72E-07;1.17E-07;293.15
0.16;-6.47E-07;7.97E-08;293.15;-6.08E-08;1.50E-07;2.26E-07;1.54E-07;293.15
0.2;-8.10E-07;9.99E-08;293.16;-7.63E-08;1.88E-07;2.83E-07;1.93E-07;293.16
0.24;-9.75E-07;1.20E-07;293.16;-9.18E-08;2.26E-07;3.40E-07;2.33E-07;293.16
0.28;-1.14E-06;1.40E-07;293.16;-1.07E-07;2.63E-07;3.97E-07;2.71E-07;293.16
0.32;-1.30E-06;1.60E-07;293.16;-1.22E-07;3.00E-07;4.53E-07;3.10E-07;293.16
0.36;-1.46E-06;1.80E-07;293.16;-1.38E-07;3.38E-07;5.08E-07;3.48E-07;293.16
0.4;-1.62E-06;1.99E-07;293.16;-1.53E-07;3.74E-07;5.64E-07;3.86E-07;293.16
0.44;-1.77E-06;2.19E-07;293.16;-1.68E-07;4.11E-07;6.20E-07;4.24E-07;293.16
0.48;-1.93E-06;2.39E-07;293.16;-1.83E-07;4.48E-07;6.75E-07;4.62E-07;293.16
0.52;-2.09E-06;2.58E-07;293.16;-1.98E-07;4.85E-07;7.30E-07;4.99E-07;293.16
0.56;-2.25E-06;2.78E-07;293.16;-2.13E-07;5.21E-07;7.85E-07;5.37E-07;293.16
0.6;-2.40E-06;2.97E-07;293.17;-2.28E-07;5.58E-07;8.40E-07;5.74E-07;293.17
0.64;-2.56E-06;3.16E-07;293.17;-2.44E-07;5.94E-07;8.95E-07;6.12E-07;293.17
0.68;-2.72E-06;3.36E-07;293.17;-2.59E-07;6.30E-07;9.50E-07;6.49E-07;293.17
0.72;-2.87E-06;3.55E-07;293.17;-2.74E-07;6.67E-07;1.00E-06;6.86E-07;293.17
