Time;Volt_n1_V_out;Volt_p1_V_out;Temp_PVDF_1;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out;Temp_PVDF_2
0;-1.25E-17;-1.76E-17;293.15;1.39E-17;2.23E-19;-9.83E-18;-2.04E-17;293.15
0.03;-1.86E-07;9.51E-09;293.15;3.91E-08;2.50E-08;1.94E-08;2.47E-08;293.15
0.06;-4.00E-07;2.04E-08;293.15;8.41E-08;5.38E-08;4.17E-08;5.32E-08;293.15
0.09;-5.80E-07;2.97E-08;293.15;1.22E-07;7.79E-08;6.05E-08;7.71E-08;293.15
0.12;-7.27E-07;3.72E-08;293.15;1.53E-07;9.77E-08;7.58E-08;9.66E-08;293.15
0.15;-8.91E-07;4.57E-08;293.15;1.87E-07;1.20E-07;9.30E-08;1.18E-07;293.15
0.18;-1.07E-06;5.49E-08;293.15;2.25E-07;1.44E-07;1.12E-07;1.42E-07;293.15
0.21;-1.26E-06;6.44E-08;293.16;2.64E-07;1.69E-07;1.31E-07;1.67E-07;293.16
0.24;-1.43E-06;7.36E-08;293.16;3.02E-07;1.93E-07;1.50E-07;1.91E-07;293.16
0.27;-1.61E-06;8.27E-08;293.16;3.39E-07;2.17E-07;1.68E-07;2.14E-07;293.16
0.3;-1.79E-06;9.18E-08;293.16;3.76E-07;2.40E-07;1.87E-07;2.38E-07;293.16
0.33;-1.96E-06;1.01E-07;293.16;4.13E-07;2.64E-07;2.05E-07;2.61E-07;293.16
0.36;-2.14E-06;1.10E-07;293.16;4.50E-07;2.88E-07;2.23E-07;2.85E-07;293.16
0.39;-2.32E-06;1.19E-07;293.16;4.87E-07;3.11E-07;2.42E-07;3.08E-07;293.16
0.42;-2.49E-06;1.28E-07;293.16;5.24E-07;3.35E-07;2.60E-07;3.31E-07;293.16
0.45;-2.67E-06;1.37E-07;293.16;5.61E-07;3.58E-07;2.78E-07;3.55E-07;293.16
0.48;-2.84E-06;1.46E-07;293.16;5.98E-07;3.82E-07;2.97E-07;3.78E-07;293.16
0.51;-3.02E-06;1.55E-07;293.16;6.34E-07;4.05E-07;3.15E-07;4.01E-07;293.16
0.54;-3.19E-06;1.64E-07;293.16;6.71E-07;4.29E-07;3.33E-07;4.24E-07;293.16
0.57;-3.36E-06;1.73E-07;293.17;7.07E-07;4.52E-07;3.51E-07;4.47E-07;293.17
0.6;-3.54E-06;1.82E-07;293.17;7.44E-07;4.75E-07;3.69E-07;4.70E-07;293.17
0.63;-3.71E-06;1.91E-07;293.17;7.80E-07;4.98E-07;3.87E-07;4.93E-07;293.17
0.66;-3.88E-06;2.00E-07;293.17;8.16E-07;5.22E-07;4.05E-07;5.16E-07;293.17
0.69;-4.05E-06;2.09E-07;293.17;8.53E-07;5.45E-07;4.23E-07;5.39E-07;293.17
0.72;-4.22E-06;2.17E-07;293.17;8.89E-07;5.68E-07;4.41E-07;5.62E-07;293.17
0.75;-4.39E-06;2.26E-07;293.17;9.24E-07;5.91E-07;4.59E-07;5.84E-07;293.17
0.78;-4.57E-06;2.35E-07;293.17;9.60E-07;6.13E-07;4.77E-07;6.07E-07;293.17
0.81;-4.73E-06;2.44E-07;293.17;9.96E-07;6.36E-07;4.95E-07;6.30E-07;293.17
0.84;-4.90E-06;2.53E-07;293.17;1.03E-06;6.59E-07;5.12E-07;6.52E-07;293.17
0.87;-5.07E-06;2.61E-07;293.17;1.07E-06;6.82E-07;5.30E-07;6.75E-07;293.17
0.9;-5.24E-06;2.70E-07;293.17;1.10E-06;7.04E-07;5.48E-07;6.97E-07;293.17
