Time;Volt_n1_V_out;Volt_p1_V_out;Temp_PVDF_1;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out;Temp_PVDF_2
0;-4.75E-18;-2.04E-17;293.15;1.65E-17;6.26E-19;4.14E-18;-2.08E-17;293.15
0.03;-1.23E-07;-2.18E-08;293.15;4.74E-08;-2.57E-08;2.02E-07;-2.72E-08;293.15
0.06;-2.63E-07;-4.69E-08;293.15;1.02E-07;-5.53E-08;4.34E-07;-5.85E-08;293.15
0.09;-3.82E-07;-6.80E-08;293.15;1.48E-07;-8.02E-08;6.28E-07;-8.47E-08;293.15
0.12;-4.78E-07;-8.54E-08;293.15;1.85E-07;-1.01E-07;7.88E-07;-1.06E-07;293.15
0.15;-5.86E-07;-1.05E-07;293.15;2.27E-07;-1.23E-07;9.66E-07;-1.30E-07;293.15
0.18;-7.05E-07;-1.26E-07;293.15;2.73E-07;-1.48E-07;1.16E-06;-1.57E-07;293.15
0.21;-8.26E-07;-1.48E-07;293.16;3.20E-07;-1.74E-07;1.36E-06;-1.84E-07;293.16
0.24;-9.44E-07;-1.69E-07;293.16;3.66E-07;-1.99E-07;1.55E-06;-2.10E-07;293.16
0.27;-1.06E-06;-1.90E-07;293.16;4.11E-07;-2.24E-07;1.75E-06;-2.36E-07;293.16
0.3;-1.18E-06;-2.11E-07;293.16;4.56E-07;-2.48E-07;1.94E-06;-2.62E-07;293.16
0.33;-1.29E-06;-2.31E-07;293.16;5.01E-07;-2.73E-07;2.13E-06;-2.88E-07;293.16
0.36;-1.41E-06;-2.52E-07;293.16;5.46E-07;-2.97E-07;2.32E-06;-3.14E-07;293.16
0.39;-1.52E-06;-2.73E-07;293.16;5.91E-07;-3.22E-07;2.51E-06;-3.40E-07;293.16
0.42;-1.64E-06;-2.94E-07;293.16;6.36E-07;-3.46E-07;2.70E-06;-3.66E-07;293.16
0.45;-1.76E-06;-3.15E-07;293.16;6.81E-07;-3.71E-07;2.89E-06;-3.91E-07;293.16
0.48;-1.87E-06;-3.35E-07;293.16;7.25E-07;-3.95E-07;3.08E-06;-4.17E-07;293.16
0.51;-1.99E-06;-3.56E-07;293.16;7.70E-07;-4.19E-07;3.27E-06;-4.43E-07;293.16
0.54;-2.10E-06;-3.77E-07;293.16;8.14E-07;-4.44E-07;3.46E-06;-4.68E-07;293.16
0.57;-2.21E-06;-3.97E-07;293.17;8.58E-07;-4.68E-07;3.64E-06;-4.94E-07;293.17
0.6;-2.33E-06;-4.18E-07;293.17;9.03E-07;-4.92E-07;3.83E-06;-5.19E-07;293.17
0.63;-2.44E-06;-4.38E-07;293.17;9.47E-07;-5.16E-07;4.02E-06;-5.45E-07;293.17
0.66;-2.55E-06;-4.59E-07;293.17;9.91E-07;-5.40E-07;4.20E-06;-5.70E-07;293.17
0.69;-2.67E-06;-4.79E-07;293.17;1.03E-06;-5.64E-07;4.39E-06;-5.95E-07;293.17
0.72;-2.78E-06;-4.99E-07;293.17;1.08E-06;-5.88E-07;4.58E-06;-6.20E-07;293.17
0.75;-2.89E-06;-5.20E-07;293.17;1.12E-06;-6.12E-07;4.76E-06;-6.45E-07;293.17
0.78;-3.00E-06;-5.40E-07;293.17;1.17E-06;-6.36E-07;4.95E-06;-6.71E-07;293.17
0.81;-3.12E-06;-5.60E-07;293.17;1.21E-06;-6.60E-07;5.13E-06;-6.96E-07;293.17
0.84;-3.23E-06;-5.80E-07;293.17;1.25E-06;-6.84E-07;5.31E-06;-7.21E-07;293.17
0.87;-3.34E-06;-6.00E-07;293.17;1.30E-06;-7.07E-07;5.50E-06;-7.45E-07;293.17
0.9;-3.45E-06;-6.20E-07;293.17;1.34E-06;-7.31E-07;5.68E-06;-7.70E-07;293.17
0.93;-3.56E-06;-6.40E-07;293.17;1.38E-06;-7.55E-07;5.86E-06;-7.95E-07;293.17
0.96;-3.67E-06;-6.60E-07;293.18;1.42E-06;-7.78E-07;6.04E-06;-8.20E-07;293.18
0.99;-3.78E-06;-6.80E-07;293.18;1.47E-06;-8.01E-07;6.22E-06;-8.44E-07;293.18
1.02;-3.89E-06;-7.00E-07;293.18;1.51E-06;-8.25E-07;6.40E-06;-8.69E-07;293.18
1.05;-4.00E-06;-7.20E-07;293.18;1.55E-06;-8.48E-07;6.58E-06;-8.93E-07;293.18
1.08;-4.11E-06;-7.40E-07;293.18;1.59E-06;-8.71E-07;6.76E-06;-9.17E-07;293.18
1.11;-4.22E-06;-7.59E-07;293.18;1.64E-06;-8.95E-07;6.94E-06;-9.42E-07;293.18
1.14;-4.32E-06;-7.79E-07;293.18;1.68E-06;-9.18E-07;7.12E-06;-9.66E-07;293.18
1.17;-4.43E-06;-7.98E-07;293.18;1.72E-06;-9.41E-07;7.30E-06;-9.90E-07;293.18
1.2;-4.54E-06;-8.18E-07;293.18;1.76E-06;-9.64E-07;7.47E-06;-1.01E-06;293.18
1.23;-4.65E-06;-8.37E-07;293.18;1.80E-06;-9.87E-07;7.65E-06;-1.04E-06;293.18
1.26;-4.75E-06;-8.57E-07;293.18;1.85E-06;-1.01E-06;7.82E-06;-1.06E-06;293.18
1.29;-4.86E-06;-8.76E-07;293.18;1.89E-06;-1.03E-06;8.00E-06;-1.09E-06;293.18
1.32;-4.97E-06;-8.95E-07;293.18;1.93E-06;-1.06E-06;8.17E-06;-1.11E-06;293.18
1.35;-5.07E-06;-9.14E-07;293.18;1.97E-06;-1.08E-06;8.35E-06;-1.13E-06;293.18
1.38;-5.18E-06;-9.34E-07;293.19;2.01E-06;-1.10E-06;8.52E-06;-1.16E-06;293.19
1.41;-5.28E-06;-9.53E-07;293.19;2.05E-06;-1.12E-06;8.70E-06;-1.18E-06;293.19
1.44;-5.39E-06;-9.72E-07;293.19;2.09E-06;-1.15E-06;8.87E-06;-1.20E-06;293.19
1.47;-5.49E-06;-9.91E-07;293.19;2.13E-06;-1.17E-06;9.04E-06;-1.23E-06;293.19
1.5;-5.60E-06;-1.01E-06;293.19;2.17E-06;-1.19E-06;9.21E-06;-1.25E-06;293.19
1.53;-5.70E-06;-1.03E-06;293.19;2.21E-06;-1.21E-06;9.38E-06;-1.27E-06;293.19
1.56;-5.80E-06;-1.05E-06;293.19;2.25E-06;-1.23E-06;9.55E-06;-1.30E-06;293.19
